# SPDX-License-Identifier: CC-BY-SA-4.0
# Curated quest-order evidence adapted from Elden Ring Wiki (https://eldenring.wiki.gg/).
# The wiki declares CC BY-SA 4.0 through its MediaWiki rightsinfo API. Each row pins the exact
# page revision used, so attribution and the factual basis remain reviewable after pages change.
#
# This is EVIDENCE, not game logic. source_node and target_node are typed so an item cannot be
# mistaken for an event flag. `item:` nodes name an AP item; source_game_ref records the game's
# independently-derived id space. `flag:` ids come from the project's vanilla-data derivation.
# Claims are concise adaptations, not copied walkthrough prose.
source_node	target_node	relation	group_id	group_semantics	quest	claim	source_game_ref	id_evidence	source_page	source_page_id	source_revision	source_timestamp	source_url	license
flag:400392	flag:510110	requires	ccwiki:fia:fortissax	single	Fia	Giving Fia the Cursemark and reloading precedes entering the Deathbed Dream and fighting Fortissax.	event_flag:400392	gen_data.py:_BOSS_ARENA_QUEST_GATED + data.py live check ids	Fia, Deathbed Companion	7625	100532	2026-08-12T21:07:18Z	https://eldenring.wiki.gg/w/index.php?title=Fia%2C_Deathbed_Companion&oldid=100532	CC-BY-SA-4.0
flag:12027080	flag:400391	requires	ccwiki:ranni:statue	single	Ranni	Ranni gives the Carian Inverted Statue after the Fingerslayer Blade is brought to her.	event_flag:12027080	data.py live check ids	Ranni the Witch	350	100538	2026-08-12T21:39:17Z	https://eldenring.wiki.gg/w/index.php?title=Ranni_the_Witch&oldid=100538	CC-BY-SA-4.0
flag:12027080	flag:400394	requires	ccwiki:ranni:miniature	single	Ranni	Giving Ranni the Fingerslayer Blade opens the route where Miniature Ranni is obtained.	event_flag:12027080	data.py live check ids	Ranni the Witch	350	100538	2026-08-12T21:39:17Z	https://eldenring.wiki.gg/w/index.php?title=Ranni_the_Witch&oldid=100538	CC-BY-SA-4.0
flag:114	flag:400393	requires	ccwiki:ranni:greatsword	single	Ranni	The Dark Moon Ring is required to reach Ranni before she leaves the Dark Moon Greatsword.	event_flag:114	data.py live check ids	Ranni the Witch	350	100538	2026-08-12T21:39:17Z	https://eldenring.wiki.gg/w/index.php?title=Ranni_the_Witch&oldid=100538	CC-BY-SA-4.0
item:Hole-Laden Necklace	flag:2053467600	requires	ccwiki:ymir:necklace-rhia	single	Ymir	The necklace is received before the Rhia bell, whose reward is the Crimson Seed Talisman +1.	goods:2008008	flag_lots.tsv f400660 + key_item_gates.tsv Hole-Laden Necklace	Count Ymir	10906	99589	2026-04-13T17:51:00Z	https://eldenring.wiki.gg/w/index.php?title=Count_Ymir&oldid=99589	CC-BY-SA-4.0
item:Hole-Laden Necklace	flag:2050407000	requires	ccwiki:ymir:necklace-dheo	single	Ymir	The necklace is received before the Dheo bell, whose reward is the Cerulean Seed Talisman +1.	goods:2008008	flag_lots.tsv f400660 + key_item_gates.tsv Hole-Laden Necklace	Count Ymir	10906	99589	2026-04-13T17:51:00Z	https://eldenring.wiki.gg/w/index.php?title=Count_Ymir&oldid=99589	CC-BY-SA-4.0
flag:2053460600	flag:510550	requires	ccwiki:ymir:metyr	all	Ymir	The Rhia bell is rung before the route to Miyr and the Metyr fight.	event_flag:2053460600	key_item_gates.tsv Hole-Laden Necklace	Count Ymir	10906	99589	2026-04-13T17:51:00Z	https://eldenring.wiki.gg/w/index.php?title=Count_Ymir&oldid=99589	CC-BY-SA-4.0
flag:2050400600	flag:510550	requires	ccwiki:ymir:metyr	all	Ymir	The Dheo bell is rung before the route to Miyr and the Metyr fight.	event_flag:2050400600	key_item_gates.tsv Hole-Laden Necklace	Count Ymir	10906	99589	2026-04-13T17:51:00Z	https://eldenring.wiki.gg/w/index.php?title=Count_Ymir&oldid=99589	CC-BY-SA-4.0
flag:400310	flag:400320	requires	ccwiki:millicent:heirloom	single	Millicent	Giving Millicent the repaired Unalloyed Gold Needle precedes her Prosthesis-Wearer Heirloom reward.	event_flag:400310	data.py live check ids	Millicent	4368	100564	2026-08-12T23:47:14Z	https://eldenring.wiki.gg/w/index.php?title=Millicent&oldid=100564	CC-BY-SA-4.0
flag:1039547300	flag:400323	requires	ccwiki:millicent:prosthesis	single	Millicent	The Valkyrie's Prosthesis is given to Millicent before the branch that can award Millicent's Prosthesis.	event_flag:1039547300	data.py live check ids	Millicent	4368	100564	2026-08-12T23:47:14Z	https://eldenring.wiki.gg/w/index.php?title=Millicent&oldid=100564	CC-BY-SA-4.0
flag:400321	flag:400324	requires	ccwiki:millicent:miquella-needle	all	Millicent	Recovering the Unalloyed Gold Needle after assisting Millicent is required for Miquella's Needle.	event_flag:400321	data.py live check ids	Millicent	4368	100564	2026-08-12T23:47:14Z	https://eldenring.wiki.gg/w/index.php?title=Millicent&oldid=100564	CC-BY-SA-4.0
flag:15000800	flag:400324	requires	ccwiki:millicent:miquella-needle	all	Millicent	Malenia must be defeated after assisting Millicent before Miquella's Needle is awarded.	event_flag:15000800	data.py live check ids	Millicent	4368	100564	2026-08-12T23:47:14Z	https://eldenring.wiki.gg/w/index.php?title=Millicent&oldid=100564	CC-BY-SA-4.0
flag:16000800	flag:400180	excludes	ccwiki:patches:letter	single	Patches	Patches gives his assassination request before Rykard's defeat and leaves Volcano Manor afterward.	event_flag:16000800	questline_dag.tsv machine edge	Patches	11873	100540	2026-08-12T21:52:17Z	https://eldenring.wiki.gg/w/index.php?title=Patches&oldid=100540	CC-BY-SA-4.0
