lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
eldenpedia-golden-seed-revision-99538-check-7770583	check	7770583	acquisition_identity	"{""flag"":400191,""item_name"":""Golden Seed"",""project_region"":""Limgrave"",""source_area"":""Limgrave"",""source_selector"":""roderika has moved to roundtable hold""}"	wiki:eldenpedia:page-8969:revision-99538	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-8969:revision-99538:#Acquisition:3	Eldenpedia revision 99538 identifies a Golden Seed by roderika has moved to roundtable hold; that unique acquisition row and committed ItemLot id select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or completeness.
eldenpedia-golden-seed-revision-99538-check-7770832	check	7770832	acquisition_identity	"{""flag"":10007195,""item_name"":""Golden Seed"",""project_region"":""Stormveil"",""source_area"":""Limgrave"",""source_selector"":""uncerated tree spirit in the lower area of the castle""}"	wiki:eldenpedia:page-8969:revision-99538	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-8969:revision-99538:#Acquisition:9	Eldenpedia revision 99538 identifies a Golden Seed by uncerated tree spirit in the lower area of the castle; that unique acquisition row and committed ItemLot id select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or completeness.
eldenpedia-golden-seed-revision-99538-check-7770885	check	7770885	acquisition_identity	"{""flag"":10007730,""item_name"":""Golden Seed"",""project_region"":""Stormveil"",""source_area"":""Limgrave"",""source_selector"":""secluded cell site of grace""}"	wiki:eldenpedia:page-8969:revision-99538	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-8969:revision-99538:#Acquisition:8	Eldenpedia revision 99538 identifies a Golden Seed by secluded cell site of grace; that unique acquisition row and committed ItemLot id select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or completeness.
eldenpedia-golden-seed-revision-99538-check-7771027	check	7771027	acquisition_identity	"{""flag"":11007993,""item_name"":""Golden Seed"",""project_region"":""Leyndell"",""source_area"":""Altus Plateau"",""source_selector"":""ulcerated tree spirit in leyndell royal capital""}"	wiki:eldenpedia:page-8969:revision-99538	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-8969:revision-99538:#Acquisition:26	Eldenpedia revision 99538 identifies a Golden Seed by ulcerated tree spirit in leyndell royal capital; that unique acquisition row and committed ItemLot id select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or completeness.
eldenpedia-golden-seed-revision-99538-check-7771049	check	7771049	acquisition_identity	"{""flag"":12017100,""item_name"":""Golden Seed"",""project_region"":""Ainsel River"",""source_area"":""Ainsel River"",""source_selector"":""western side of nokstella eternal city""}"	wiki:eldenpedia:page-8969:revision-99538	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-8969:revision-99538:#Acquisition:39	Eldenpedia revision 99538 identifies a Golden Seed by western side of nokstella eternal city; that unique acquisition row and committed ItemLot id select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or completeness.
eldenpedia-golden-seed-revision-99538-check-7771145	check	7771145	acquisition_identity	"{""flag"":12017997,""item_name"":""Golden Seed"",""project_region"":""Ainsel River"",""source_area"":""Ainsel River"",""source_selector"":""putrid tree spirit in the grand cloister""}"	wiki:eldenpedia:page-8969:revision-99538	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-8969:revision-99538:#Acquisition:40	Eldenpedia revision 99538 identifies a Golden Seed by putrid tree spirit in the grand cloister; that unique acquisition row and committed ItemLot id select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or completeness.
eldenpedia-golden-seed-revision-99538-check-7771149	check	7771149	acquisition_identity	"{""flag"":12027040,""item_name"":""Golden Seed"",""project_region"":""Siofra River"",""source_area"":""Siofra River"",""source_selector"":""worshipper s woods""}"	wiki:eldenpedia:page-8969:revision-99538	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-8969:revision-99538:#Acquisition:37	Eldenpedia revision 99538 identifies a Golden Seed by worshipper s woods; that unique acquisition row and committed ItemLot id select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or completeness.
eldenpedia-golden-seed-revision-99538-check-7771485	check	7771485	acquisition_identity	"{""flag"":13007980,""item_name"":""Golden Seed"",""project_region"":""Farum Azula"",""source_area"":""Crumbling Farum Azula"",""source_selector"":""dragon temple rooftop""}"	wiki:eldenpedia:page-8969:revision-99538	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-8969:revision-99538:#Acquisition:36	Eldenpedia revision 99538 identifies a Golden Seed by dragon temple rooftop; that unique acquisition row and committed ItemLot id select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or completeness.
eldenpedia-golden-seed-revision-99538-check-7771486	check	7771486	acquisition_identity	"{""flag"":13007990,""item_name"":""Golden Seed"",""project_region"":""Farum Azula"",""source_area"":""Crumbling Farum Azula"",""source_selector"":""dragon temple site of grace""}"	wiki:eldenpedia:page-8969:revision-99538	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-8969:revision-99538:#Acquisition:35	Eldenpedia revision 99538 identifies a Golden Seed by dragon temple site of grace; that unique acquisition row and committed ItemLot id select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or completeness.
eldenpedia-golden-seed-revision-99538-check-7771553	check	7771553	acquisition_identity	"{""flag"":14007990,""item_name"":""Golden Seed"",""project_region"":""Raya Lucaria Academy"",""source_area"":""Liurnia of the Lakes"",""source_selector"":""academy of raya lucaria west of the courtyard""}"	wiki:eldenpedia:page-8969:revision-99538	gameplay-wiki:eldenpedia	lead_only	unknown	eldenpedia:pageid-8969:revision-99538:#Acquisition:14	Eldenpedia revision 99538 identifies a Golden Seed by academy of raya lucaria west of the courtyard; that unique acquisition row and committed ItemLot id select one AP check.	Community-wiki acquisition lead cross-checked against committed lot data. It does not prove v1.17 behavior, AP region boundaries, access logic, route order, coordinates, or completeness.
