lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
redmaw-d1-12-check-7773389	check	7773389	identity_region	"{""item_name"":""Blade of Mercy"",""region"":""Gravesite""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:#west-gravesite:d1-12	The walkthrough records Blade of Mercy in its west-gravesite segment; that item name identifies one current AP check in Gravesite.	One independently authored walkthrough lead, matched by exact item name inside a declared region bucket. It does not prove a v1.17 event predicate, access requirement, absence of alternate acquisition, or the accuracy of AP's descriptive location suffix.
redmaw-d1-23-check-7773473	check	7773473	identity_region	"{""item_name"":""Blessing of Marika"",""region"":""Gravesite""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:#west-gravesite:d1-23	The walkthrough records Blessing of Marika in its west-gravesite segment; that item name identifies one current AP check in Gravesite.	One independently authored walkthrough lead, matched by exact item name inside a declared region bucket. It does not prove a v1.17 event predicate, access requirement, absence of alternate acquisition, or the accuracy of AP's descriptive location suffix.
redmaw-d1-25-check-7773909	check	7773909	identity_region	"{""item_name"":""\""The Sacred Tower\"" Painting"",""region"":""Gravesite""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:#west-gravesite:d1-25	"The walkthrough records ""The Sacred Tower"" Painting in its west-gravesite segment; that item name identifies one current AP check in Gravesite."	One independently authored walkthrough lead, matched by exact item name inside a declared region bucket. It does not prove a v1.17 event predicate, access requirement, absence of alternate acquisition, or the accuracy of AP's descriptive location suffix.
redmaw-d1-28-check-7773395	check	7773395	identity_region	"{""item_name"":""Grave Glovewort [5]"",""region"":""Gravesite""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:#west-gravesite:d1-28	The walkthrough records Grave Glovewort [5] in its west-gravesite segment; that item name identifies one current AP check in Gravesite.	One independently authored walkthrough lead, matched by exact item name inside a declared region bucket. It does not prove a v1.17 event predicate, access requirement, absence of alternate acquisition, or the accuracy of AP's descriptive location suffix.
redmaw-d1-29-check-7773745	check	7773745	identity_region	"{""item_name"":""Cross Map"",""region"":""Gravesite""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:#west-gravesite:d1-29	The walkthrough records Cross Map in its west-gravesite segment; that item name identifies one current AP check in Gravesite.	One independently authored walkthrough lead, matched by exact item name inside a declared region bucket. It does not prove a v1.17 event predicate, access requirement, absence of alternate acquisition, or the accuracy of AP's descriptive location suffix.
redmaw-d1-38-check-7774023	check	7774023	identity_region	"{""item_name"":""Ghost Glovewort [5]"",""region"":""Gravesite""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:#west-gravesite:d1-38	The walkthrough records Ghost Glovewort [5] in its west-gravesite segment; that item name identifies one current AP check in Gravesite.	One independently authored walkthrough lead, matched by exact item name inside a declared region bucket. It does not prove a v1.17 event predicate, access requirement, absence of alternate acquisition, or the accuracy of AP's descriptive location suffix.
redmaw-d1-39-check-7773237	check	7773237	identity_region	"{""item_name"":""String-Seller's Bell Bearing"",""region"":""Gravesite""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:#west-gravesite:d1-39	The walkthrough records String-Seller's Bell Bearing in its west-gravesite segment; that item name identifies one current AP check in Gravesite.	One independently authored walkthrough lead, matched by exact item name inside a declared region bucket. It does not prove a v1.17 event predicate, access requirement, absence of alternate acquisition, or the accuracy of AP's descriptive location suffix.
redmaw-d1-43-check-7773240	check	7773240	identity_region	"{""item_name"":""Bloodfiend's Arm"",""region"":""Gravesite""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:#west-gravesite:d1-43	The walkthrough records Bloodfiend's Arm in its west-gravesite segment; that item name identifies one current AP check in Gravesite.	One independently authored walkthrough lead, matched by exact item name inside a declared region bucket. It does not prove a v1.17 event predicate, access requirement, absence of alternate acquisition, or the accuracy of AP's descriptive location suffix.
redmaw-d1-45-check-7773238	check	7773238	identity_region	"{""item_name"":""Outer God Heirloom"",""region"":""Gravesite""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:#west-gravesite:d1-45	The walkthrough records Outer God Heirloom in its west-gravesite segment; that item name identifies one current AP check in Gravesite.	One independently authored walkthrough lead, matched by exact item name inside a declared region bucket. It does not prove a v1.17 event predicate, access requirement, absence of alternate acquisition, or the accuracy of AP's descriptive location suffix.
redmaw-d1-51-check-7770144	check	7770144	identity_region	"{""item_name"":""Greater Potentate's Cookbook [5]"",""region"":""Gravesite""}"	wiki:redmaw:walkthroughs:7281cb6f	gameplay-guide:redmaw	lead_only	unknown	redmaw:#west-gravesite:d1-51	The walkthrough records Greater Potentate's Cookbook [5] in its west-gravesite segment; that item name identifies one current AP check in Gravesite.	One independently authored walkthrough lead, matched by exact item name inside a declared region bucket. It does not prove a v1.17 event predicate, access requirement, absence of alternate acquisition, or the accuracy of AP's descriptive location suffix.
