# AUTO-GENERATED by tools/datamine_multisite_checks.py -- DO NOT EDIT, re-emit.
# Checks obtainable in MORE THAN ONE AP REGION, where which site you get it at
# depends on the ORDER you do things. Filed in one region, the reachability model
# believes that region is enough -- so a required item here can strand a seed.
# -> tag MISSABLE (stays randomised and obtainable; only loses REQUIRED progression).
# 7 of these were ALREADY hand-tagged missable by earlier audits,
#   which is what makes the rest credible. 🛑 A flag SET by several maps' EMEVD is
#   not PROOF it is obtainable in all of them -- this can over-tag, and that is the
#   cheap direction to be wrong in.
# data.py inputs_hash at emit: sha256:91daaec74c9c2b0974155ee9bbfd05c2e0efe2aff45734b65f6b673d10f91b51
flag	filed_region	obtainable_regions	maps	already_missable	name
60510	Stormveil	Leyndell,Stormveil	m10_00,m11_00	no	Stormveil :: Talisman Pouch - around Castleward Tunnel [f60510]
400033	Liurnia	Liurnia,Stormveil	m10_01,m60_37_49	yes	Liurnia :: Lord of Blood's Favor - m10_01 (2) [f400033]
400061	Liurnia	Liurnia,Weeping	m60_33_44,m60_43_31,m60_45_34	yes	Liurnia :: Shabriri Grape - around Revenger's Shack [f400061]
400381	Sewer	Altus,Sewer	m35_00,m60_45_52	yes	Sewer :: Sword of Milos - near Ranni's Chamber [f400381]
400602	Enir Ilim	Enir Ilim,Gravesite	m20_01,m61_46_42	yes	Enir Ilim :: Freyja's Greatsword - near Three-Path Cross [f400602]
400614	Enir Ilim	Ancient Ruins,Enir Ilim,Shadow Keep	m20_01,m21_00,m61_44_46	yes	Enir Ilim :: Falx - around Gate of Divinity [f400614]
400644	Enir Ilim	Enir Ilim,Gravesite	m20_01,m61_45_42,m61_47_46	yes	Enir Ilim :: Moore's Bell Bearing - near Main Gate Cross [f400644]
400645	Enir Ilim	Cerulean,Ensis,Gravesite,Scadu Altus	m61_45_41,m61_47_46,m61_48_40,m61_48_44,m61_49_46,m61_50_47	yes	Enir Ilim :: Verdigris Greatshield - around Gate of Divinity [f400645]
400694	Belurat	Belurat,Gravesite	m20_00,m61_47_46	no	Belurat :: Crusade Insignia - around Belurat, Tower Settlement [f400694]
400696	Scadu Altus	Belurat,Gravesite	m20_00,m61_47_46	no	Scadu Altus :: Ash of War: Flame Skewer - Kill Queelign in church of the crusade [f400696]
520800	Roundtable Hold	Gravesite,Limgrave	m34_10,m43_00	no	Roundtable Hold :: Bloodfiend Hexer's Ashes (region unconfirmed) [f520800]
2045477500	Rauh Base	Rauh Base,Scadu Altus	m61_45_47,m61_50_46	no	Rauh Base :: Sword of Light - around Ravine North [f2045477500]
2045477510	Rauh Base	Rauh Base,Scadu Altus	m61_45_47,m61_50_46	no	Rauh Base :: check - around Ravine North (1) [f2045477510]
2045477520	Rauh Base	Rauh Base,Scadu Altus	m61_45_47,m61_50_46	no	Rauh Base :: check - around Ravine North (2) [f2045477520]
2045477530	Rauh Base	Rauh Base,Scadu Altus	m61_45_47,m61_50_46	no	Rauh Base :: check - around Ravine North (3) [f2045477530]
2045477540	Rauh Base	Rauh Base,Scadu Altus	m61_45_47,m61_50_46	no	Rauh Base :: check - around Ravine North (4) [f2045477540]
2045477550	Rauh Base	Rauh Base,Scadu Altus	m61_45_47,m61_50_46	no	Rauh Base :: check - around Ravine North (5) [f2045477550]
2045477560	Rauh Base	Rauh Base,Scadu Altus	m61_45_47,m61_50_46	no	Rauh Base :: check - around Ravine North (6) [f2045477560]
2045477570	Rauh Base	Rauh Base,Scadu Altus	m61_45_47,m61_50_46	no	Rauh Base :: check - around Ravine North (7) [f2045477570]
2045477580	Rauh Base	Rauh Base,Scadu Altus	m61_45_47,m61_50_46	no	Rauh Base :: check - around Ravine North (8) [f2045477580]
2045477590	Rauh Base	Rauh Base,Scadu Altus	m61_45_47,m61_50_46	no	Rauh Base :: check - around Ravine North (9) [f2045477590]
2045477600	Rauh Base	Rauh Base,Scadu Altus	m61_45_47,m61_50_46	no	Rauh Base :: check - around Ravine North (10) [f2045477600]
2045477700	Gravesite	Gravesite,Scadu Altus	m40_00,m61_50_46	no	Gravesite :: Sword of Darkness - around Fog Rift Catacombs [f2045477700]
2045477710	Gravesite	Gravesite,Scadu Altus	m40_00,m61_50_46	no	Gravesite :: check - around Fog Rift Catacombs (1) [f2045477710]
2045477720	Gravesite	Gravesite,Scadu Altus	m40_00,m61_50_46	no	Gravesite :: check - around Fog Rift Catacombs (2) [f2045477720]
2045477730	Gravesite	Gravesite,Scadu Altus	m40_00,m61_50_46	no	Gravesite :: check - around Fog Rift Catacombs (3) [f2045477730]
2045477740	Gravesite	Gravesite,Scadu Altus	m40_00,m61_50_46	no	Gravesite :: check - around Fog Rift Catacombs (4) [f2045477740]
2045477750	Gravesite	Gravesite,Scadu Altus	m40_00,m61_50_46	no	Gravesite :: check - around Fog Rift Catacombs (5) [f2045477750]
2045477760	Gravesite	Gravesite,Scadu Altus	m40_00,m61_50_46	no	Gravesite :: check - around Fog Rift Catacombs (6) [f2045477760]
2045477770	Gravesite	Gravesite,Scadu Altus	m40_00,m61_50_46	no	Gravesite :: check - around Fog Rift Catacombs (7) [f2045477770]
2045477780	Gravesite	Gravesite,Scadu Altus	m40_00,m61_50_46	no	Gravesite :: check - around Fog Rift Catacombs (8) [f2045477780]
2045477790	Gravesite	Gravesite,Scadu Altus	m40_00,m61_50_46	no	Gravesite :: check - around Fog Rift Catacombs (9) [f2045477790]
2045477800	Gravesite	Gravesite,Scadu Altus	m40_00,m61_50_46	no	Gravesite :: check - around Fog Rift Catacombs (10) [f2045477800]
2045477900	Gravesite	Gravesite,Rauh Base,Scadu Altus	m40_00,m61_45_47,m61_50_46	no	Gravesite :: Stone-Sheathed Sword - around Fog Rift Catacombs [f2045477900]
