lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
game8-459941-check-7771946	check	7771946	identity_region	{"item_name":"Dueling Shield","region":"Shadow Keep"}	wiki:game8:specimen-storehouse:20260902	gameplay-guide:game8	lead_only	unknown	game8:459941:#specimen-storehouse-equipment-and-items	Game8 lists the Dueling Shield in the Specimen Storehouse within Shadow Keep; the exact unique item identifies AP check 7771946.	Identity and coarse region only; no access, logic, route-order, or version-applicability claim.
game8-459941-check-7771970	check	7771970	identity_region	{"item_name":"Carian Thrusting Shield","region":"Shadow Keep"}	wiki:game8:specimen-storehouse:20260902	gameplay-guide:game8	lead_only	unknown	game8:459941:#storehouse-back-section-items	Game8 places the Carian Thrusting Shield in the Specimen Storehouse Back Section within Shadow Keep; the exact unique item identifies AP check 7771970.	Identity and coarse region only; no access, logic, route-order, or version-applicability claim.
game8-459941-check-7771973	check	7771973	identity_region	{"item_name":"Fire Serpent","region":"Shadow Keep"}	wiki:game8:specimen-storehouse:20260902	gameplay-guide:game8	lead_only	unknown	game8:459941:#fire-serpent	Game8 places the Fire Serpent incantation on a Specimen Storehouse balcony within Shadow Keep; the exact unique spell identifies AP check 7771973.	Identity and coarse region only; no access, logic, route-order, or version-applicability claim.
game8-459941-check-7771979	check	7771979	identity_region	{"item_name":"Wrath from Afar","region":"Shadow Keep"}	wiki:game8:specimen-storehouse:20260902	gameplay-guide:game8	lead_only	unknown	game8:459941:#wrath-from-afar	Game8 places Wrath from Afar in the Storehouse Loft within Shadow Keep; the exact unique spell identifies AP check 7771979.	Identity and coarse region only; no access, logic, route-order, or version-applicability claim.
game8-460287-check-7772455	check	7772455	identity_region	{"item_name":"Ancient Dragon Smithing Stone","region":"Rauh Base"}	wiki:game8:taylews-forge:20260902	gameplay-guide:game8	lead_only	unknown	game8:460287:#taylews-ruined-forge-ancient-dragon-smithing-stones	Game8 places Ancient Dragon Smithing Stones in Taylew's Ruined Forge and locates that dungeon northeast of Ancient Ruins Base in Rauh Base; project flag evidence selects AP check 7772455.	Identity and coarse region only; the repeated item name requires project flag/location disambiguation and does not prove logic or access.
game8-459578-check-7773229	check	7773229	identity_region	{"item_name":"Larval Tear","region":"Rauh Base"}	wiki:game8:dlc-larval-tears:20260902	gameplay-guide:game8	lead_only	unknown	game8:459578:#dlc-larval-tear-locations:ravine-north	Game8 lists a Larval Tear at Ravine North below the Rauh Ruins; the exact subarea and project flag identify AP check 7773229 in Rauh Base.	Identity and coarse region only; project flag/location evidence disambiguates a repeated item and does not prove logic or access.
game8-460251-check-7773330	check	7773330	identity_region	{"item_name":"Scadutree Fragment","region":"Rauh Base"}	wiki:game8:temple-town-ruins:20260902	gameplay-guide:game8	lead_only	unknown	game8:460251:#temple-town-ruins-scadutree-fragment	Game8 places a Scadutree Fragment inside Temple Town Ruins in the lower Rauh Ruins; the exact anchor and project flag identify AP check 7773330 in Rauh Base.	Identity and coarse region only; project flag/location evidence disambiguates a repeated item and does not prove logic or access.
game8-460251-check-7773331	check	7773331	identity_region	{"item_name":"Spiritgrave Stone","region":"Rauh Base"}	wiki:game8:temple-town-ruins:20260902	gameplay-guide:game8	lead_only	unknown	game8:460251:#spiritgrave-stone	Game8 places a Spiritgrave Stone beside ruined walls at Temple Town Ruins in the lower Rauh Ruins; the exact anchor identifies AP check 7773331 in Rauh Base.	Identity and coarse region only; no access, logic, route-order, or version-applicability claim.
game8-458883-check-7773874	check	7773874	identity_region	{"item_name":"Roar of Rugalea","region":"Rauh Base"}	wiki:game8:roar-of-rugalea:20260902	gameplay-guide:game8	lead_only	unknown	game8:458883:#defeat-rugalea-in-rauh-base	Game8 states that Roar of Rugalea drops from Rugalea the Great Red Bear in Rauh Base; the exact unique spell identifies AP check 7773874.	Identity and coarse region only; no access, logic, route-order, or version-applicability claim.
game8-458843-check-7773852	check	7773852	identity_region	{"item_name":"Lamenter's Mask","region":"Cerulean"}	wiki:game8:lamenters-mask:20260902	gameplay-guide:game8	lead_only	unknown	game8:458843:#how-to-get-lamenters-mask	Game8 states that the Lamenter's Mask drops from the Lamenter in Lamenter's Gaol; the exact unique reward identifies AP check 7773852 in the project's Cerulean region.	Identity and project coarse-region mapping only; no access, logic, route-order, or version-applicability claim.
game8-458707-check-7773868	check	7773868	identity_region	{"item_name":"Star-Lined Sword","region":"Cerulean"}	wiki:game8:star-lined-sword:20260902	gameplay-guide:game8	lead_only	unknown	game8:458707:#dropped-by-demi-human-queen-marigga-at-the-cerulean-coast	Game8 states that Demi-Human Queen Marigga drops the Star-Lined Sword in northwest Cerulean Coast; the exact unique reward identifies AP check 7773868.	Identity and coarse region only; no access, logic, route-order, or version-applicability claim.
game8-459015-check-7773368	check	7773368	identity_region	{"item_name":"Spirit Sword","region":"Cerulean"}	wiki:game8:spirit-sword:20260902	gameplay-guide:game8	lead_only	unknown	game8:459015:#found-in-a-graveyard-northeast-of-the-cerulean-coast-west-site-of-grace	Game8 places the Spirit Sword in a graveyard northeast of Cerulean Coast West; the exact unique item identifies AP check 7773368.	Identity and coarse region only; no access, logic, route-order, or version-applicability claim.
