# AUTO-GENERATED by tools/datamine_achievement_bosses.py -- DO NOT EDIT, re-emit.
#
# THE GAME'S OWN MAJOR-BOSS ROSTER. Every call site of common.emevd's $Event(9300) -- the trophy
# event, `AwardAchievement(achievementId)` gated on `EventFlag(eventFlagId)` -- joined to
# BOSS_HEALTHBARS on that same eventFlagId, which for a boss achievement IS the defeat flag.
#
# kind=boss        the flag is a boss defeat flag; this achievement is "kill that boss"
# kind=collection  neither capture knows the flag. NOT a miss: these are the all-legendary-armaments
#                  / -sorceries / -incantations achievements, which fire on a counter flag. Kept in
#                  the file so the classifier's negative answers are visible rather than absent.
#
# source=healthbar      BOSS_HEALTHBARS knows the flag -- map, class and name come from it
# source=reward_defeat  ONLY BOSS_REWARD_DEFEAT knows it. Still a boss (nothing else produces a boss
#                       reward flag) but the healthbar capture missed it, so there is no name to
#                       print. The Fire Giant is here, and a healthbars-only classifier called him a
#                       collection achievement -- which is why there are two sources and a column
#                       saying which one answered.
#
# The three ENDING achievements are absent by construction: m11_71 and m19_00 call
# AwardAchievement INLINE, with no eventFlagId to join on. They are not bosses either.
#
# This file is the ROSTER, not the tag. gen_data turns a defeat flag into the CHECK that death
# grants via boss_reward_lots.BOSS_REWARD_DEFEAT, and asserts that every kind=boss row either
# resolves to exactly one check or is named in its unresolved ledger.
#
achievement_id	defeat_flag	kind	source	map	boss_class	boss_name

4	10000800	boss	healthbar	m10_00	legacy	Godrick the Grafted
5	9130	collection				
6	11000800	boss	healthbar	m11_00	legacy	Morgott, the Omen King
7	16000800	boss	healthbar	m16_00	legacy	Rykard, Lord of Blasphemy
8	15000800	boss	healthbar	m15_00	legacy	Malenia, Blade of Miquella
9	12050800	boss	healthbar	m12_05	legacy	Mohg, Lord of Blood
10	13000800	boss	healthbar	m13_00	legacy	Maliketh, the Black Blade
11	11050800	boss	healthbar	m11_05	legacy	Godfrey, First Elden Lord
12	13000830	boss	healthbar	m13_00	legacy	Dragonlord Placidusax
18	14000800	boss	healthbar	m14_00	legacy	Rennala, Queen of the Full Moon
19	12030850	boss	healthbar	m12_03	legacy	Lichdragon Fortissax
20	13000850	boss	healthbar	m13_00	legacy	Godskin Duo
21	1052520800	boss	reward_defeat			
22	12010800	boss	healthbar	m12_01	legacy	Dragonkin Soldier of Nokstella
23	12090800	boss	healthbar	m12_09	legacy	Regal Ancestor Spirit
24	12020800	boss	healthbar	m12_02	legacy	Valiant Gargoyle
25	10000850	boss	healthbar	m10_00	legacy	Margit, the Fell Omen
26	14000850	boss	healthbar	m14_00	legacy	Red Wolf of Radagon
27	16000850	boss	healthbar	m16_00	legacy	Godskin Noble
28	39200800	boss	healthbar	m39_20	dungeon	Magma Wyrm Makar
29	11000850	boss	healthbar	m11_00	legacy	Godfrey, First Elden Lord
30	35000800	boss	healthbar	m35_00	legacy	Mohg, the Omen
31	12020850	boss	healthbar	m12_02	legacy	Mimic Tear
32	15000850	boss	healthbar	m15_00	legacy	Loretta, Knight of the Haligtree
33	12040800	boss	healthbar	m12_04	legacy	Astel, Naturalborn of the Void
34	1043300800	boss	healthbar	m60_43	field	Leonine Misbegotten
35	1035500800	boss	healthbar	m60_35	field	Royal Knight Loretta
36	1039540800	boss	healthbar	m60_39	field	Elemer of the Briar
37	12080800	boss	healthbar	m12_08	legacy	Ancestor Spirit
38	1051570800	boss	healthbar	m60_51	field	Commander Niall
39	105	collection				
41	110	collection				
