warpUnlockFlag	mapTile	subCategory	placeName
71000	m10_00	10000	Godrick the Grafted
71001	m10_00	61001	Margit, the Fell Omen
71002	m10_00	61001	Castleward Tunnel
71003	m10_00	10000	Gateside Chamber
71004	m10_00	10000	Stormveil Cliffside
71005	m10_00	10000	Rampart Tower
71006	m10_00	10000	Liftside Chamber
71007	m10_00	10000	Secluded Cell
71008	m10_00	10000	Stormveil Main Gate
71100	m11_00	11000	Elden Throne
71101	m11_00	11000	Erdtree Sanctuary
71102	m11_00	11000	East Capital Rampart
71103	m11_00	11000	Lower Capital Church
71104	m11_00	11000	Avenue Balcony
71105	m11_00	11000	West Capital Rampart
71107	m11_00	11000	Queen's Bedchamber
71108	m11_00	11000	Fortified Manor, First Floor
71109	m11_00	11000	Divine Bridge
71120	m11_05	11050	Elden Throne
71121	m11_05	11050	Erdtree Sanctuary
71122	m11_05	11050	East Capital Rampart
71123	m11_05	11050	Leyndell, Capital of Ash
71124	m11_05	11050	Queen's Bedchamber
71125	m11_05	11050	Divine Bridge
71190	m11_10	11100	Table of Lost Grace
71210	m12_01	12012	Dragonkin Soldier of Nokstella
71211	m12_01	12012	Ainsel River Well Depths
71212	m12_01	12012	Ainsel River Sluice Gate
71213	m12_01	12012	Ainsel River Downstream
71214	m12_01	12010	Ainsel River Main
71215	m12_01	12010	Nokstella, Eternal City
71216	m12_01	12011	Lake of Rot Shoreside
71218	m12_01	12011	Grand Cloister
71219	m12_01	12010	Nokstella Waterfall Basin
71220	m12_02	12020	Great Waterfall Basin
71221	m12_02	12020	Mimic Tear
71222	m12_02	12070	Siofra River Bank
71223	m12_02	12070	Worshippers' Woods
71224	m12_02	12020	Ancestral Woods
71225	m12_02	12020	Aqueduct-Facing Cliffs
71226	m12_02	12020	Night's Sacred Ground
71227	m12_02	12070	Below the Well
71230	m12_03	12030	Prince of Death's Throne
71231	m12_03	12030	Root-Facing Cliffs
71232	m12_03	12030	Great Waterfall Crest
71233	m12_03	12030	Deeproot Depths
71234	m12_03	12030	The Nameless Eternal City
71235	m12_03	12030	Across the Roots
71240	m12_04	12012	Astel, Naturalborn of the Void
71250	m12_05	12050	Cocoon of the Empyrean
71251	m12_05	12050	Palace Approach Ledge-Road
71252	m12_05	12050	Dynasty Mausoleum Entrance
71253	m12_05	12050	Dynasty Mausoleum Midpoint
71260	m12_06	0	
71261	m12_06	0	
71270	m12_07	12070	Siofra River Well Depths
71271	m12_07	12020	Nokron, Eternal City
71300	m13_00	13000	Maliketh, the Black Blade
71301	m13_00	13000	Dragonlord Placidusax
71302	m13_00	13000	Dragon Temple Altar
