synthetic_flag	item	annotation	verdict	real_flag	evidence
110060	Smithing Stone [8]	MH/HC: Smithing Stone [8] - from main branch, go S take right fork then SE	AMBIGUOUS		"EVERY candidate real flag is ALREADY claimed by another AP location, so whichever one this phantom means, the check already exists -> the phantom row is redundant and DELETE is safe even though the exact counterpart is not pinned. 6 candidates [15007100,15007230,15007400,15007520,15007680,15007730]; unclaimed=[none]. 15007100: ItemLotParam_map ID=15000100 grants 'Smithing Stone [8]', slot getItemFlagId=15007100; lot is placed in map m15_00 (msb_flag_region) which belongs to AP region ""Miquella's Haligtree"" [annotation says: from main branch, go S take right fork then SE] ;; 15007230: ItemLotParam_map ID=15000230 grants 'Smithing Stone [8]', slot getItemFlagId=15007230; lot is placed in map m15_00 (msb_flag_region) which belongs to AP region ""Miquella's Haligtree"" [annotation says: from main branch, go S take right fork then SE] ;; 15007400: ItemLotParam_map ID=15000400 grants 'Smithing Stone [8]', slot getItemFlagId=15007400; lot is placed in map m15_00 (msb_flag_region) which belongs to AP region ""Miquella's Haligtree"" [annotation says: from main branch, go S take right fork then SE] ;; 15007520: ItemLotParam_map ID=15000520 grants 'Smithing Stone [8]', slot getItemFlagId=15007520; lot is placed in map m15_00 (msb_flag_region) which belongs to AP region ""Miquella's Haligtree"" [annotation says: from main branch, go S take right fork then SE] ;; 15007680: ItemLotParam_map ID=15000680 grants 'Smithing Stone [8]', slot getItemFlagId=15007680; lot is placed in map m15_00 (msb_flag_region) which belongs to AP region ""Miquella's Haligtree"" [annotation says: from main branch, go S take right fork then SE] ;; 15007730: ItemLotParam_map ID=15000730 grants 'Smithing Stone [8]', slot getItemFlagId=15007730; lot is placed in map m15_00 (msb_flag_region) which belongs to AP region ""Miquella's Haligtree"" [annotation says: from main branch, go S take right fork then SE]"
130310	Ghost Glovewort [2]	MA/(LER): Ghost Glovewort [2] - enemy drop middle of ruins	UNRECOVERABLE		no item lot grants 'Ghost Glovewort [2]' inside AP region 'Eternal Cities' (maps searched: m12_01,m12_02,m12_03,m12_04,m12_07,m12_08,m12_09) || the item IS granted by 10 lot(s) elsewhere: maps=[m40_02 x1,m61_44_47 x1]; 8 lot(s) have no MSB map binding at all (enemy/event lots) so they cannot be map-scoped || context: 0 existing AP location(s) already grant 'Ghost Glovewort [2]' in this region
130320	Ghost Glovewort [2]	MA/(LER): Ghost Glovewort [2] - enemy drop E ruins	UNRECOVERABLE		no item lot grants 'Ghost Glovewort [2]' inside AP region 'Eternal Cities' (maps searched: m12_01,m12_02,m12_03,m12_04,m12_07,m12_08,m12_09) || the item IS granted by 10 lot(s) elsewhere: maps=[m40_02 x1,m61_44_47 x1]; 8 lot(s) have no MSB map binding at all (enemy/event lots) so they cannot be map-scoped || context: 0 existing AP location(s) already grant 'Ghost Glovewort [2]' in this region
130790	Smithing Stone [8]	MA/(LER): Smithing Stone [8] x3 - in chest under illusory floor E ruins	UNRECOVERABLE		no item lot grants 'Smithing Stone [8]' inside AP region 'Eternal Cities' (maps searched: m12_01,m12_02,m12_03,m12_04,m12_07,m12_08,m12_09) || the item IS granted by 88 lot(s) elsewhere: maps=[m13_00 x10,m15_00 x6,m12_05 x2,m20_01 x2,m21_00 x2,m21_01 x1,m35_00 x1,m42_02 x1]; 51 lot(s) have no MSB map binding at all (enemy/event lots) so they cannot be map-scoped || context: 0 existing AP location(s) already grant 'Smithing Stone [8]' in this region
150060	Lump of Flesh	LG/SR: Lump of Flesh x3 - lower beach to W	AMBIGUOUS		EVERY candidate real flag is ALREADY claimed by another AP location, so whichever one this phantom means, the check already exists -> the phantom row is redundant and DELETE is safe even though the exact counterpart is not pinned. 3 candidates [1041397000,1042357000,1042387140]; unclaimed=[none]. 1041397000: ItemLotParam_map ID=1041390000 grants 'Lump of Flesh', slot getItemFlagId=1041397000; lot is placed in map m60_41_39 (lot-id map convention) which belongs to AP region 'Limgrave' [annotation says: lower beach to W] ;; 1042357000: ItemLotParam_map ID=1042350000 grants 'Lump of Flesh', slot getItemFlagId=1042357000; lot is placed in map m60_42_35 (msb_flag_region) which belongs to AP region 'Limgrave' [annotation says: lower beach to W] ;; 1042387140: ItemLotParam_map ID=1042380140 grants 'Lump of Flesh', slot getItemFlagId=1042387140; lot is placed in map m60_42_38 (msb_flag_region) which belongs to AP region 'Limgrave' [annotation says: lower beach to W]
150080	Furlcalling Finger Remedy	LG/(CE): Furlcalling Finger Remedy x5 - Kalé Shop	DUPLICATE	150050	ShopLineupParam ID=100505 equipId=150 equipType=3 eventFlag_forStock=150050; merchant block 100500-100599 stocks 7/7 of this merchant's phantom items || flag ALREADY CLAIMED by ap_id=7000439 (Furlcalling Finger Remedy, method=shop_multi) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row
150090	Note: Flask of Wondrous Physick	LG/(CE): Note: Flask of Wondrous Physick - Kalé Shop	DUPLICATE	69620	ShopLineupParam ID=100500 equipId=8702 equipType=3 eventFlag_forStock=69620; merchant block 100500-100599 stocks 7/7 of this merchant's phantom items || flag ALREADY CLAIMED by ap_id=7000274 (Note: Flask of Wondrous Physick, method=shop_multi) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row
150120	Note: Waypoint Ruins	LG/(CE): Note: Waypoint Ruins - Kalé Shop	DUPLICATE	69720	ShopLineupParam ID=100514 equipId=8712 equipType=3 eventFlag_forStock=69720; merchant block 100500-100599 stocks 7/7 of this merchant's phantom items || flag ALREADY CLAIMED by ap_id=7000283 (Note: Waypoint Ruins, method=shop_merchant) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row
150140	Nomadic Warrior's Cookbook [1]	LG/(CE): Nomadic Warrior's Cookbook [1] - Kalé Shop	DUPLICATE	67000	ShopLineupParam ID=100502 equipId=9300 equipType=3 eventFlag_forStock=67000; merchant block 100500-100599 stocks 7/7 of this merchant's phantom items || flag ALREADY CLAIMED by ap_id=7000168 (Nomadic Warrior's Cookbook [1], method=shop_merchant) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row
150210	Telescope	LG/(CE): Telescope - Kalé Shop	DUPLICATE	150130	ShopLineupParam ID=100513 equipId=2040 equipType=3 eventFlag_forStock=150130; merchant block 100500-100599 stocks 7/7 of this merchant's phantom items || flag ALREADY CLAIMED by ap_id=7000446 (Telescope, method=shop_merchant) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row
150220	Nomadic Warrior's Cookbook [2]	LG/(CE): Nomadic Warrior's Cookbook [2] - Kalé Shop	DUPLICATE	67110	ShopLineupParam ID=100503 equipId=9311 equipType=3 eventFlag_forStock=67110; merchant block 100500-100599 stocks 7/7 of this merchant's phantom items || flag ALREADY CLAIMED by ap_id=7000178 (Nomadic Warrior's Cookbook [2], method=shop_merchant) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row
150480	Bandit Mask	LG/SB: Bandit Mask - Nomadic Merchant to E	DUPLICATE	150460	ShopLineupParam ID=100546 equipId=1401000 equipType=1 eventFlag_forStock=150460; merchant block 100500-100599 stocks 3/3 of this merchant's phantom items || flag ALREADY CLAIMED by ap_id=7000457 (Bandit Mask, method=shop_merchant) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row
150490	Pickled Turtle Neck	LG/SB: Pickled Turtle Neck x3 - Nomadic Merchant to E	DUPLICATE	150410	ShopLineupParam ID=100541 equipId=1100 equipType=3 eventFlag_forStock=150410; merchant block 100500-100599 stocks 3/3 of this merchant's phantom items || flag ALREADY CLAIMED by ap_id=7000454 (Pickled Turtle Neck, method=shop_merchant) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row
150500	Note: Flame Chariots	LG/SB: Note: Flame Chariots - Nomadic Merchant to E	DUPLICATE	69670	ShopLineupParam ID=100539 equipId=8707 equipType=3 eventFlag_forStock=69670; merchant block 100500-100599 stocks 3/3 of this merchant's phantom items || flag ALREADY CLAIMED by ap_id=7000278 (Note: Flame Chariots, method=shop_merchant) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row
150550	St. Trina's Arrow	LG/ME: St. Trina's Arrow x10 - Nomadic Merchant S of ME	AMBIGUOUS	150660	only 1 of 2 candidates is unclaimed (150660) - plausible but NOT proven; needs placement disambiguation. 2 candidates [150660,160890]; unclaimed=[150660]. 150660: ShopLineupParam ID=100566 equipId=50040000 equipType=0 eventFlag_forStock=150660; merchant block NOT inferred - searched all shops ;; 160890: ShopLineupParam ID=100689 equipId=50040000 equipType=0 eventFlag_forStock=160890; merchant block NOT inferred - searched all shops
150960	Stanching Boluses	LG/CC: Stanching Boluses x3 - Nomadic Merchant SE of CC	DUPLICATE	150930	ShopLineupParam ID=100593 equipId=910 equipType=3 eventFlag_forStock=150930; merchant block 100500-100599 stocks 3/3 of this merchant's phantom items || flag ALREADY CLAIMED by ap_id=7000477 (Stanching Boluses, method=shop_multi) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row
150970	Stimulating Boluses	LG/CC: Stimulating Boluses x2 - Nomadic Merchant SE of CC	DUPLICATE	150940	ShopLineupParam ID=100594 equipId=930 equipType=3 eventFlag_forStock=150940; merchant block 100500-100599 stocks 3/3 of this merchant's phantom items || flag ALREADY CLAIMED by ap_id=7000478 (Stimulating Boluses, method=shop_multi) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row
150980	Note: Stonedigger Trolls	LG/CC: Note: Stonedigger Trolls - Nomadic Merchant SE of CC	DUPLICATE	69630	ShopLineupParam ID=100576 equipId=8703 equipType=3 eventFlag_forStock=69630; merchant block 100500-100599 stocks 3/3 of this merchant's phantom items || flag ALREADY CLAIMED by ap_id=7000275 (Note: Stonedigger Trolls, method=shop_multi) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row
160250	Golden Rune [5]	WP/WR: Golden Rune [5] - W of WR on beach	DUPLICATE	1041337010	ItemLotParam_map ID=1041330010 grants 'Golden Rune [5]', slot getItemFlagId=1041337010; lot is placed in map m60_41_33 (lot-id map convention) which belongs to AP region 'Weeping Peninsula' [annotation says: W of WR on beach] || flag ALREADY CLAIMED by ap_id=7003983 (Golden Rune [5], method=global_filler) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row
160260	Great Dragonfly Head	WP/(WR): Great Dragonfly Head - within ruins	AMBIGUOUS		EVERY candidate real flag is ALREADY claimed by another AP location, so whichever one this phantom means, the check already exists -> the phantom row is redundant and DELETE is safe even though the exact counterpart is not pinned. 2 candidates [1041337030,1042327000]; unclaimed=[none]. 1041337030: ItemLotParam_map ID=1041330030 grants 'Great Dragonfly Head', slot getItemFlagId=1041337030; lot is placed in map m60_41_33 (lot-id map convention) which belongs to AP region 'Weeping Peninsula' [annotation says: within ruins] ;; 1042327000: ItemLotParam_map ID=1042320000 grants 'Great Dragonfly Head', slot getItemFlagId=1042327000; lot is placed in map m60_42_32 (msb_flag_region) which belongs to AP region 'Weeping Peninsula' [annotation says: within ruins]
160350	Ash of War: Barbaric Roar	LL/RVV: Ash of War: Barbaric Roar - scarab to N	DUPLICATE	540224	ItemLotParam_map ID=40224 is the ONLY lot in the entire game that grants 'Ash of War: Barbaric Roar' (slot getItemFlagId=540224, map=m60_37_51) -> placement proven by global uniqueness; note the phantom is filed under AP region 'Liurnia of the Lakes' while the real check's map resolves to 'Altus Plateau' || flag ALREADY CLAIMED by ap_id=7001276 (Ash of War: Barbaric Roar, method=emevd) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row
160530	Fire Grease	SSG/UR: Fire Grease x5 - to left down ladder, to right up pipe on big platform	AMBIGUOUS		EVERY candidate real flag is ALREADY claimed by another AP location, so whichever one this phantom means, the check already exists -> the phantom row is redundant and DELETE is safe even though the exact counterpart is not pinned. 2 candidates [35007260,35007390]; unclaimed=[none]. 35007260: ItemLotParam_map ID=35000260 grants 'Fire Grease', slot getItemFlagId=35007260; lot is placed in map m35_00 (msb_flag_region) which belongs to AP region 'Altus Plateau' [annotation says: to left down ladder, to right up pipe on big platform] ;; 35007390: ItemLotParam_map ID=35000390 grants 'Fire Grease', slot getItemFlagId=35007390; lot is placed in map m35_00 (msb_flag_region) which belongs to AP region 'Altus Plateau' [annotation says: to left down ladder, to right up pipe on big platform]
160770	Smithing Stone [5]	RLA/SC: Smithing Stone [5] - below cog elevator item 1	AMBIGUOUS		EVERY candidate real flag is ALREADY claimed by another AP location, so whichever one this phantom means, the check already exists -> the phantom row is redundant and DELETE is safe even though the exact counterpart is not pinned. 3 candidates [1038507000,14007300,14007480]; unclaimed=[none]. 1038507000: ItemLotParam_map ID=1038500000 grants 'Smithing Stone [5]', slot getItemFlagId=1038507000; lot is placed in map m60_38_50 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: below cog elevator item 1] ;; 14007300: ItemLotParam_map ID=14000300 grants 'Smithing Stone [5]', slot getItemFlagId=14007300; lot is placed in map m14_00 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: below cog elevator item 1] ;; 14007480: ItemLotParam_map ID=14000480 grants 'Smithing Stone [5]', slot getItemFlagId=14007480; lot is placed in map m14_00 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: below cog elevator item 1]
