# HAND-MAINTAINED. For every item our own logic treats as the key to a VANILLA PHYSICAL DOOR, this
# records WHAT THE GAME READS when the player tries that door -- an "obtained" event flag, or plain
# inventory possession -- and the evidence for the claim.
#
# WHY IT EXISTS. The client grants goods into the inventory. Some vanilla gates do not read the
# inventory: they read a dedicated "obtained" event flag that a raw grant never trips. When that
# happens the player holds the key, the door stays shut, and NOTHING tells anyone -- not the player,
# not us. That has now happened three times (Rold Medallion 400001, 2026-06-19, proven in game;
# the whetblade affinity flags, #240; and -- reported by a player on 0.2.18 and still open --
# Leyndell's Great Runes and the Academy Glintstone Key). Each was found by a person walking into a
# wall, because the client's table (crates/eldenring-archipelago/src/keyitems.rs) is a WHITELIST
# whose failure mode is silence.
#
# This file makes the silence loud. `tests/test_gf_key_item_gate_classification.py` DERIVES the
# population from the features themselves -- natural_progression.GATE_CLAUSES, legacy_key_gates
# (_LEGACY_KEYS + the multi-key gaol), leyndell_gate.GREAT_RUNES, legible_keys.CAPSTONE_VANILLA_KEYS
# -- and fails if any member is missing a row here. You cannot add a gate and forget this file.
#
# mechanism:
#   obtained_flag      the gate reads an event flag. The client MUST set it on receipt. flags = the ids.
#   possession         the gate reads the inventory. A plain grant is enough. flags = "-".
#   not_a_vanilla_gate our logic uses the item as a region token; the game has no door for it. flags = "-".
#   UNVERIFIED         we have not established which. Counted by the ratchet below; not safe, just honest.
#
# evidence_tier:
#   in_game    someone walked it, in our client. The only tier that closes the question.
#   datamine   read out of params/EMEVD/ESD or itemevents.txt. Strong; not proof of our grant path.
#   assumed    reasoning only. LEGAL ONLY ON `UNVERIFIED` -- a confident row must cite something.
#
# 🛑 UNVERIFIED IS DEBT, NOT A RESTING PLACE. The test pins the count and lets it only go DOWN.
# Do not reclassify a row to make the number smaller; move it by measuring it.
#
# item	mechanism	flags	evidence_tier	evidence
Rold Medallion	obtained_flag	400001	in_game	Grand Lift of Rold stayed sealed with the medallion (goods 8107) in inventory and Morgott dead, seed 45997544150175068277, 2026-06-19; /setflag 400001 1 unblocked it. SoulsRandomizers/diste/Base/itemevents.txt f15(400001) "checks for Rold Medallion for Melina purposes". Shipped in keyitems.rs.
Drawing-Room Key	obtained_flag	400072	datamine	itemevents.txt dedicated-flag family; Volcano Manor drawing-room transition. Shipped in keyitems.rs, but NEVER walked in game -- demote to UNVERIFIED if that ever looks load-bearing.
Dectus Medallion (Left)	possession	-	datamine	No dedicated grant-flag and not tested as a flag in events; the lift checks INVENTORY, so an AP grant already works. Deliberately absent from keyitems.rs (2026-06-19).
Dectus Medallion (Right)	possession	-	datamine	As (Left): lift reads inventory, no dedicated flag, deliberately absent from keyitems.rs.
Haligtree Secret Medallion (Left)	possession	-	datamine	No dedicated grant-flag, not tested as a flag in events; the Rold/Haligtree gate reads inventory (2026-06-19).
Haligtree Secret Medallion (Right)	possession	-	datamine	As (Left). NB legible_keys also maps this half to the Fire Giant capstone via Castle Sol.
Godrick's Great Rune	obtained_flag	191	datamine	EMEVD probe 2026-08-01; GATE DERIVATION CORRECTED 2026-08-22 (clients#392). This row claimed the capital calls common $Event(720) 大ルーン解放数チェック with threshold 2 -- FALSE: that probe verified 720's DEFINITION (`CountEventFlags(EventFlag, 190, 199)` over the RESTORED band) but never traced a call site, and nothing in the 589-file corpus reads 720's outputs 160-167. The 王都の封印 (Seal of the Royal Capital, m60_45_52_00/.10 $Event(1045522500)) reads `EventFlag(182) && EventFlag(105)`; 182 is the output of common $Event(730) 大ルーン所持数チェック slot 2 = `CountEventFlags(EventFlag, 170, 179) >= 2` over the POSSESSION band. Possession flags 171-177 are engine-set by the boss lots' getItemFlagId (lot 10010 -> 171, ItemLotParam_map.csv) plus one-shot relief $Event(6905) -- a raw goods grant sets none of them. Zero sites gate on rune GOODS (ITEM-ARG 0/6). THIS row's flag 191 is the Divine-Tower RESTORE flag: m34_10_00_00 `InitializeCommonEvent(0, 90005110, 191, ..., 8148, ...)`, where 90005110 (common_func) does AwardItemsIncludingClients + RemoveItemFromPlayer(Goods, 8148) + SetEventFlagID(eventFlagId, ON). So keyitems.rs writing 191 is CORRECT for marking the rune restored; the GATE is covered separately -- keyitems.rs writes 105+182 directly at >=2 AP-received runes (LEYNDELL_TWO_RUNES_FLAGS). NB the rune<->flag pairing here is our catalog's, corroborated by the tower map. #276.
Radahn's Great Rune	obtained_flag	192	datamine	EMEVD probe 2026-08-01; GATE DERIVATION CORRECTED 2026-08-22 (clients#392). This row claimed the capital calls common $Event(720) 大ルーン解放数チェック with threshold 2 -- FALSE: that probe verified 720's DEFINITION (`CountEventFlags(EventFlag, 190, 199)` over the RESTORED band) but never traced a call site, and nothing in the 589-file corpus reads 720's outputs 160-167. The 王都の封印 (Seal of the Royal Capital, m60_45_52_00/.10 $Event(1045522500)) reads `EventFlag(182) && EventFlag(105)`; 182 is the output of common $Event(730) 大ルーン所持数チェック slot 2 = `CountEventFlags(EventFlag, 170, 179) >= 2` over the POSSESSION band. Possession flags 171-177 are engine-set by the boss lots' getItemFlagId (lot 10010 -> 171, ItemLotParam_map.csv) plus one-shot relief $Event(6905) -- a raw goods grant sets none of them. Zero sites gate on rune GOODS (ITEM-ARG 0/6). THIS row's flag 192 is the Divine-Tower RESTORE flag: m34_13_00_00 `InitializeCommonEvent(0, 90005110, 192, ..., 8149, ...)`, where 90005110 (common_func) does AwardItemsIncludingClients + RemoveItemFromPlayer(Goods, 8149) + SetEventFlagID(eventFlagId, ON). So keyitems.rs writing 192 is CORRECT for marking the rune restored; the GATE is covered separately -- keyitems.rs writes 105+182 directly at >=2 AP-received runes (LEYNDELL_TWO_RUNES_FLAGS). NB the rune<->flag pairing here is our catalog's, corroborated by the tower map. #276.
Morgott's Great Rune	obtained_flag	193	datamine	EMEVD probe 2026-08-01; GATE DERIVATION CORRECTED 2026-08-22 (clients#392). This row claimed the capital calls common $Event(720) 大ルーン解放数チェック with threshold 2 -- FALSE: that probe verified 720's DEFINITION (`CountEventFlags(EventFlag, 190, 199)` over the RESTORED band) but never traced a call site, and nothing in the 589-file corpus reads 720's outputs 160-167. The 王都の封印 (Seal of the Royal Capital, m60_45_52_00/.10 $Event(1045522500)) reads `EventFlag(182) && EventFlag(105)`; 182 is the output of common $Event(730) 大ルーン所持数チェック slot 2 = `CountEventFlags(EventFlag, 170, 179) >= 2` over the POSSESSION band. Possession flags 171-177 are engine-set by the boss lots' getItemFlagId (lot 10010 -> 171, ItemLotParam_map.csv) plus one-shot relief $Event(6905) -- a raw goods grant sets none of them. Zero sites gate on rune GOODS (ITEM-ARG 0/6). THIS row's flag 193 is the Divine-Tower RESTORE flag: m34_14_00_00 `InitializeCommonEvent(0, 90005110, 193, ..., 8150, ...)`, where 90005110 (common_func) does AwardItemsIncludingClients + RemoveItemFromPlayer(Goods, 8150) + SetEventFlagID(eventFlagId, ON). So keyitems.rs writing 193 is CORRECT for marking the rune restored; the GATE is covered separately -- keyitems.rs writes 105+182 directly at >=2 AP-received runes (LEYNDELL_TWO_RUNES_FLAGS). NB the rune<->flag pairing here is our catalog's, corroborated by the tower map. #276.
Rykard's Great Rune	obtained_flag	194	datamine	EMEVD probe 2026-08-01; GATE DERIVATION CORRECTED 2026-08-22 (clients#392). This row claimed the capital calls common $Event(720) 大ルーン解放数チェック with threshold 2 -- FALSE: that probe verified 720's DEFINITION (`CountEventFlags(EventFlag, 190, 199)` over the RESTORED band) but never traced a call site, and nothing in the 589-file corpus reads 720's outputs 160-167. The 王都の封印 (Seal of the Royal Capital, m60_45_52_00/.10 $Event(1045522500)) reads `EventFlag(182) && EventFlag(105)`; 182 is the output of common $Event(730) 大ルーン所持数チェック slot 2 = `CountEventFlags(EventFlag, 170, 179) >= 2` over the POSSESSION band. Possession flags 171-177 are engine-set by the boss lots' getItemFlagId (lot 10010 -> 171, ItemLotParam_map.csv) plus one-shot relief $Event(6905) -- a raw goods grant sets none of them. Zero sites gate on rune GOODS (ITEM-ARG 0/6). THIS row's flag 194 is the Divine-Tower RESTORE flag: m34_12_00_00 `InitializeCommonEvent(0, 90005110, 194, ..., 8151, ...)`, where 90005110 (common_func) does AwardItemsIncludingClients + RemoveItemFromPlayer(Goods, 8151) + SetEventFlagID(eventFlagId, ON). So keyitems.rs writing 194 is CORRECT for marking the rune restored; the GATE is covered separately -- keyitems.rs writes 105+182 directly at >=2 AP-received runes (LEYNDELL_TWO_RUNES_FLAGS). NB the rune<->flag pairing here is our catalog's, corroborated by the tower map. #276.
