# AUTO-GENERATED by tools/build_surface_confidence.py -- DO NOT EDIT, re-emit.
# How sure we are WHERE each progression-surface class lives.
#
# 'eligible' = checks that may actually HOST progression: tagged, minus every bar below.
# A TAG COUNT IS NOT A HOSTING COUNT. Both are printed; quote the second one.
#
# 'total' IS ALREADY FILTERED, AND THAT USED TO BE INVISIBLE. It is contract.has_class:
# checks carrying the tag MINUS checks carrying a SURFACE_EXCLUDE_TAG (EniaShop -- Enia's
# buy-only remembrance store). The 'checks N carry any tag' line below is RAW. So the two
# numbers on this page legitimately disagree, and nothing said so.
#   raw tag count for a class  ==  total + tag_excluded
# MOTIVATING CASE (rule 11): on 2026-08-08 an agent read `Shop 500` here, measured 527 raw
# tags in location_tags.py, and reported the committed table as STALE in a design review.
# It was not stale -- test_gf_surface_confidence::test_artifact_is_current diffs a fresh
# emit on every CI run and was green. Two measures, one label, a fabricated defect. The
# column makes the filter visible instead of leaving it in prose.
#   tag_excluded      carries the tag but also a SURFACE_EXCLUDE_TAG -> never on the surface
#   guessed_region    region defaulted/tile-guessed -> AP thinks it is reachable at spawn
#   missable          can be lost permanently -> cannot be required
#   erdtree_burn      m11_00 destroyed when Maliketh dies (CONDITIONAL: not barred when the
#                     capital reconciler is armed -- see the two default_hosting_* lines)
#   surface_excluded  hand-excluded surface-tagged checks (gen_data _SURFACE_EXCLUDE_FLAGS)
#   hub_merchant      Roundtable-Hold ShopSlots -- reachable at spawn, so trivial
# Bar columns OVERLAP (one check can be both guessed and missable), so they do not sum to
# total - eligible. 'eligible' is computed from the UNION, never by subtracting the columns.
#
# 🛑 This table sets NO policy. It prices each class; a human decides what is offerable.
# 🛑 A class is not safe because its items were audited to EXIST. Golden Seeds are 43/43
#    audited for existence and several still have a GUESSED region -- a different claim,
#    and the one the surface depends on. See the Seedtree row.
#
# MEASURED THIS RUN (recomputed on every emit):
#   vocabulary 16 class(es) | default surface 9 class(es)
#   checks 4931 total, 978 carry any tag
#   DEFAULT SURFACE: tag union 199 | hosting 170 | hosting w/ reconciler armed 172 | hosting if missable guard OFF 176
#
class	total	tag_excluded	guessed_region	missable	erdtree_burn	surface_excluded	hub_merchant	eligible	eligible_pct	in_default
Remembrance	25	0	1	1	0	0	0	23	92	yes
Seedtree	43	0	2	1	2	1	0	37	86	yes
Church	13	0	0	0	0	1	0	12	92	yes
Boss	214	0	27	3	0	1	0	184	86	
Fragment	46	0	0	0	0	7	0	39	85	yes
Revered	23	0	0	0	0	5	0	18	78	yes
Basin	15	0	4	0	0	0	0	11	73	
Shop	534	28	41	28	0	0	0	468	88	
ShopNonSpell	420	22	40	10	0	0	0	373	89	
ShopSlot	12	0	0	0	0	0	0	12	100	yes
Legendary	65	28	8	8	3	0	0	47	72	
GreatRune	7	0	0	0	0	0	0	7	100	yes
KeyItem	19	0	0	4	0	2	0	13	68	yes
MajorBoss	43	0	3	1	0	0	0	39	91	yes
LegacyBoss	42	0	0	2	0	1	0	40	95	
FieldBoss	95	0	22	0	0	0	0	73	77	
