region,prefix,subarea,n_checks,proposed_grace,confidence,sample_check,tiles,alternates
Abyssal Woods,AW,AC,6,,NONE,"AW/AC: Ghost Glovewort [7] - W of AC, S of WT grace, behind giant tree by s",m61_51_41 m61_52_40 m61_52_41 m61_53_41,
Abyssal Woods,AW,AW,6,Abyssal Woods,HIGH,"AW/AW: Clarifying Boluses x3 - to SW in low vis area, along S wall next to ",m61_50_41 m61_50_42 m61_50_43 m61_51_42,
Abyssal Woods,AW,DF,4,,NONE,AW/DF: Mad Craftsman's Cookbook [1] - to SW up on ledge,m61_48_42 m61_49_42,
Abyssal Woods,AW,MM,1,,NONE,"AW/MM: Mad Craftsman's Cookbook [2] - head up NE path from MM, at top go SE",m61_50_41,
Abyssal Woods,AW,WT,3,Woodland Trail,HIGH,"AW/WT: Aged One's Exultation - enemy drop to S, E enemy in sneak bushes are",m61_51_41 m61_52_42,
Ainsel River,AR,ARD,10,Ainsel River Downstream,HIGH,AR/ARD: Frozen Lightning Spear - boss drop,m12_01_00,Ainsel River Well Depths(53)
Ainsel River,AR,ARSG,1,Ainsel River Sluice Gate,HIGH,AR/ARSG: Smithing Stone [3] - to N down below in corner,m12_01_00,
Ainsel River,AR,ARWD,11,Ainsel River Well Depths,HIGH,AR/ARWD: Magic Grease x3 - to N by waterfall,m12_01_00,
Ainsel River,AR,UPR,20,,NONE,AR/UPR: Prisoner Iron Mask - Hermit Merchant NW of UPR in temple,m12_01_00,
Ainsel River Main,ARM,ARM,1,Ainsel River Main,HIGH,ARM/ARM: Miniature Ranni - to N after giving Ranni Fingerslayer Blade,m12_01_00,Ainsel River Downstream(53)
Ainsel River Main,ARM,UPR,7,,NONE,"ARM/UPR: Somber Smithing Stone [6] - left path from corpse room after UPR, ",m12_01_00,
Ainsel River Main,NS,NEC,30,"Nokstella, Eternal City",HIGH,"NS/NEC: Somber Smithing Stone [6] - scarab up stairs to W, on end stairs",m12_01_00,
Ainsel River Main,NS,NWB,3,Nokstella Waterfall Basin,HIGH,"NS/NWB: Discarded Palace Key - invader drop to SE, need Miniature Ranni",m12_01_00,
Altus Plateau,AP,AC,7,Abandoned Coffin,HIGH,AP/AC: Ash of War: Sacred Order - scarab to NW,m60_37_51 m60_37_52 m60_38_51,Avenue Balcony(52) | Audience Pathway(52) | Altus Highway Junction(52)
Altus Plateau,AP,AHJ,23,Altus Highway Junction,HIGH,AP/AHJ: Great Heal - Brother Corhyn shop to N by map pillar,m11_00_00 m60_39_50 m60_39_51 m60_40_50 m60_40_51 m60_40_52 m60_41_50 m60_41_51,
Altus Plateau,AP,AP,3,Audience Pathway,HIGH,AP/AP: String x5 - to NE down hill E of the cart,m60_38_51 m60_39_50,
Altus Plateau,AP,BB,2,Bower of Bounty,HIGH,AP/BB: Somber Smithing Stone [5] - scarab to SW,m60_40_53,
Altus Plateau,AP,EGH,5,Erdtree-Gazing Hill,HIGH,AP/EGH: Greatshield Talisman - in caravan chest to E,m60_38_51 m60_39_52,
Altus Plateau,AP,EWP,5,,NONE,AP/EWP: Twinned Knight Swords - corpse,m60_41_55,
