# AUTO-GENERATED by tools/datamine_boss_arenas.py -- DO NOT EDIT, re-emit.
# Healthbar heads whose fight is REPORTED BY ANOTHER HEAD on the same map (#363).
# source: EMEVD HandleBossDefeatAndDisplayBanner + its death condition.
#
# evidence=conjunct    the primary's banner event waits on this head's death too
#                      -- one fight, several bars (m32_05 Crystalian duo).
# evidence=subordinate this head's death is not required; a block guarded by the
#                      PRIMARY's flag force-kills it (m31_22: the Spiritcaller
#                      Snail summons the Godskins, killing the snail ends it).
#
# 🛑 A head that fires its OWN banner is NEVER listed here, however close it
#    stands: m31_19 Sage's Cave is Black Knife Assassin AND Necromancer Garris,
#    two banners, two fights, and it must keep BOTH sweep triggers.
# 🛑 LEGACY rows are ADJUDICATED BUT NOT CONSUMED. gen_data suppresses only the
#    dungeon classes: legacy bosses take the round-robin DIVVY, which partitions a
#    region's filler, so they never shared a member list and narrowing one out
#    would reshape shares that are correct today. They are emitted because the
#    region-capstone model has to count ARENAS, not healthbar entities.
# 🛑 ABSENCE IS NOT AN ANSWER. A map that could not be adjudicated emits no rows
#    and is named below; do not read its silence as 'independent heads'.
# unadjudicated_maps: m12_01=heads with no banner and no link: 12010850;m12_02=heads with no banner and no link: 12020830;m12_03=heads with no banner and no link: 12030390;m14_00=heads with no banner and no link: 14000801;m16_00=heads with no banner and no link: 16000801;m19_00=heads with no banner and no link: 19000810;m20_01=heads with no banner and no link: 20010801;m21_01=heads with no banner and no link: 21010801;m61_44=no emevd;m61_46=no emevd;m61_47=no emevd;m61_48=no emevd;m61_49=no emevd;m61_50=no emevd;m61_52=no emevd;m61_54=no emevd
secondary	primary	boss_map	event	evidence
12020801	12020800	m12_02	12022800	conjunct
12030810	12030800	m12_03	12032800	conjunct
12030811	12030800	m12_03	12032800	conjunct
12030812	12030800	m12_03	12032800	conjunct
12030813	12030800	m12_03	12032800	conjunct
13000801	13000800	m13_00	13002810	subordinate
16000861	16000860	m16_00	16002860	conjunct
20010851	20010850	m20_01	20012850	conjunct
20010852	20010850	m20_01	20012850	conjunct
30100801	30100800	m30_10	30102800	conjunct
30120801	30120800	m30_12	30122800	conjunct
30140801	30140800	m30_14	30142800	conjunct
31060801	31060800	m31_06	31062800	conjunct
31070801	31070800	m31_07	31072800	conjunct
31100801	31100800	m31_10	31102800	conjunct
31110801	31110800	m31_11	31112800	conjunct
31110802	31110800	m31_11	31112800	conjunct
31150801	31150800	m31_15	31152800	conjunct
31180801	31180800	m31_18	31182800	conjunct
31200801	31200800	m31_20	31202800	conjunct
31220801	31220800	m31_22	31222810	subordinate
31220802	31220800	m31_22	31222810	subordinate
32050801	32050800	m32_05	32052800	conjunct
34140851	34140850	m34_14	34142850	conjunct
