# AUTO-GENERATED by tools/build_questline_model.py -- DO NOT EDIT.
# Typed evidence union over questline_dag.tsv + questline_cc_wiki.tsv.
# This file as a compilation is CC BY-SA 4.0; project-derived rows retain their underlying status. See release/ATTRIBUTION.md.
# EVIDENCE ONLY: nothing in the world imports this table. requires/excludes are candidate facts, not access rules.
# Nodes are typed (`flag:` / `item:`); never compare their bare ids across spaces.
# MEASURED: 313 evidence rows (300 game-data, 13 CC-wiki), 270 typed edges.
source_node	target_node	relation	group_id	group_semantics	evidence_kind	evidence_origin	quest	source_label	target_label	source_region	target_region	claim	source_game_ref	id_evidence	source_page	source_page_id	source_revision	source_timestamp	source_url	license
flag:1035432220	flag:1035437100	requires	game:lot_gates:1035437100:90005390	single	game_data	lot_gates			Liurnia :: Larval Tear - around Folly on the Lake, also granted by Glintstone Dragon Adula (m60_34_42) [f1035437100]	Liurnia	Liurnia	$InitializeCommonEvent(90005390) arg1	event_flag:1035432220	questline_dag.tsv:lot_gates						project-derived
flag:7607	flag:1035467700	requires	game:lot_gates:1035467700:90005774	single	game_data	lot_gates			Raya Lucaria Academy :: Ash of War: Raptor of the Mists - around Main Academy Gate, also granted by Red Wolf of Radagon (m14_00) [f1035467700]		Raya Lucaria Academy	$InitializeCommonEvent(90005774) arg0	event_flag:7607	questline_dag.tsv:lot_gates						project-derived
flag:1037492181	flag:1037497300	requires	game:lot_gates:1037497300:90005792	single	game_data	lot_gates			Liurnia :: Vyke's War Spear - around Church of Inhibition, also granted by Erdtree Avatar (m60_38_48) [f1037497300]	Liurnia	Liurnia	$InitializeCommonEvent(90005792) arg1	event_flag:1037492181	questline_dag.tsv:lot_gates						project-derived
flag:1038542410	flag:1038547700	requires	game:lot_gates:1038547700:90005792	single	game_data	lot_gates			Mt. Gelmir :: Sacred Butchering Knife - around First Mt. Gelmir Campsite, also granted by Ulcerated Tree Spirit (m60_37_54) [f1038547700]	Mt. Gelmir	Mt. Gelmir	$InitializeCommonEvent(90005792) arg1	event_flag:1038542410	questline_dag.tsv:lot_gates						project-derived
flag:1039520655	flag:1039537050	requires	game:treasure_enablers:1039537050:1039532400	all	game_data	treasure_enablers		Magician's Tower_Stopping the gimmick device	Mt. Gelmir :: Unseen Form - near Bower of Bounty, also granted by Ulcerated Tree Spirit (m60_37_54) [f1039537050]		Mt. Gelmir	if (!EventFlag(1039530510)) { ;; WaitFor( EventFlag(1039530655) && EventFlag(1039520655) && EventFlag(1040530655) && !AllPlayersInArea(1039532260));	event_flag:1039520655	questline_dag.tsv:treasure_enablers						project-derived
flag:1039530655	flag:1039537050	requires	game:treasure_enablers:1039537050:1039532400	all	game_data	treasure_enablers		Magician's Tower_Stopping the gimmick device	Mt. Gelmir :: Unseen Form - near Bower of Bounty, also granted by Ulcerated Tree Spirit (m60_37_54) [f1039537050]	Mt. Gelmir	Mt. Gelmir	if (!EventFlag(1039530510)) { ;; WaitFor( EventFlag(1039530655) && EventFlag(1039520655) && EventFlag(1040530655) && !AllPlayersInArea(1039532260));	event_flag:1039530655	questline_dag.tsv:treasure_enablers						project-derived
flag:1040530655	flag:1039537050	requires	game:treasure_enablers:1039537050:1039532400	all	game_data	treasure_enablers		Magician's Tower_Stopping the gimmick device	Mt. Gelmir :: Unseen Form - near Bower of Bounty, also granted by Ulcerated Tree Spirit (m60_37_54) [f1039537050]	Altus	Mt. Gelmir	if (!EventFlag(1039530510)) { ;; WaitFor( EventFlag(1039530655) && EventFlag(1039520655) && EventFlag(1040530655) && !AllPlayersInArea(1039532260));	event_flag:1040530655	questline_dag.tsv:treasure_enablers						project-derived
flag:1039520655	flag:1039537060	requires	game:treasure_enablers:1039537060:1039532400	all	game_data	treasure_enablers		Magician's Tower_Stopping the gimmick device	Mt. Gelmir :: Slumbering Egg - near Bower of Bounty, also granted by Ulcerated Tree Spirit (m60_37_54) [f1039537060]		Mt. Gelmir	if (!EventFlag(1039530510)) { ;; WaitFor( EventFlag(1039530655) && EventFlag(1039520655) && EventFlag(1040530655) && !AllPlayersInArea(1039532260));	event_flag:1039520655	questline_dag.tsv:treasure_enablers						project-derived
flag:1039530655	flag:1039537060	requires	game:treasure_enablers:1039537060:1039532400	all	game_data	treasure_enablers		Magician's Tower_Stopping the gimmick device	Mt. Gelmir :: Slumbering Egg - near Bower of Bounty, also granted by Ulcerated Tree Spirit (m60_37_54) [f1039537060]	Mt. Gelmir	Mt. Gelmir	if (!EventFlag(1039530510)) { ;; WaitFor( EventFlag(1039530655) && EventFlag(1039520655) && EventFlag(1040530655) && !AllPlayersInArea(1039532260));	event_flag:1039530655	questline_dag.tsv:treasure_enablers						project-derived
flag:1040530655	flag:1039537060	requires	game:treasure_enablers:1039537060:1039532400	all	game_data	treasure_enablers		Magician's Tower_Stopping the gimmick device	Mt. Gelmir :: Slumbering Egg - near Bower of Bounty, also granted by Ulcerated Tree Spirit (m60_37_54) [f1039537060]	Altus	Mt. Gelmir	if (!EventFlag(1039530510)) { ;; WaitFor( EventFlag(1039530655) && EventFlag(1039520655) && EventFlag(1040530655) && !AllPlayersInArea(1039532260));	event_flag:1040530655	questline_dag.tsv:treasure_enablers						project-derived
