# AUTO-GENERATED by tools/datamine_area_tiers.py --emit -- DO NOT EDIT.
# Vanilla's own declared difficulty per play_region bucket: the weighted MEDIAN base-game
#   ladder rung (7010..7200 -> index 0..19) over every enemy Part vanilla PLACED on that
#   ground, read from NpcParam.spEffectID3.
# Replaces the LIVE census (er-logic::scaling::area_tier_from_histogram) as the primary
#   source for presumed_native_tier{,_down}. The live census + AreaAnchor stay as the
#   fallback for ground this table does not cover.
# WHY: the live census counts rung-AND-band carriers and our own sweep strips the band, so
#   it erases its own sample -- bobler 2026-08-09 saw `from 0 vanilla-shaped` on 33 of 48
#   sweeps of bucket 69300 and `left vanilla` never converged (122..214).
# tier is EMPTY where the sample is below MIN_AREA_SAMPLE (8) -- same floor as the client;
#   an empty tier means 'no claim', and the caller must fall back, NOT default to 0.
# dlc_rungs counts parts whose rung is the DLC re-emission (20007000..20007350), which is a
#   STEEPER curve at the same indices and is deliberately NOT folded in.
# TRACKED (tier-2, AGENTS.md 5a): needs MSBs, which are not in gen_inputs.db.
# ladder=dlc rows are ranked WITHIN the 16-rung DLC ladder and projected onto 0..19 by
#   RANK, because the two ladders are disjoint bands (base 1.141-7.422x HP, DLC
#   7.047-16.641x) and no multiplier mapping between them exists. A base tier and a DLC
#   tier are therefore NOT comparable to each other -- only each to its own region's
#   sphere target, which is what consumes them.
bucket	tier	ladder	sample	parts	unrunged	hist_base	hist_dlc	maps
10000	2	base	197	237	40	0;0;196;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m10_00
10010		base	1	2	1	0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m10_01
11000	9	base	242	265	23	0;0;0;0;0;0;0;0;0;235;2;1;3;0;0;1;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m11_00
11050	14	base	20	40	20	0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m11_05
11100		base	0	29	29	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m11_10
12010	10	base	306	327	21	0;0;0;0;95;0;0;0;0;0;210;0;1;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m12_01
12020	8	base	279	690	411	0;0;0;0;0;129;0;0;149;0;1;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m12_02
12030	10	base	193	226	33	0;0;0;0;0;0;0;0;0;0;192;0;1;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m12_03
12040		base	1	4	3	0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m12_04
12050	16	base	207	226	18	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206;1;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1	m12_05
12070	8	base	77	84	7	0;0;0;0;0;32;0;0;45;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m12_07
12080		base	1	3	2	0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m12_08
12090		base	1	31	30	0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m12_09
13000	13	base	166	198	32	0;0;0;0;0;0;0;0;0;0;0;0;0;163;2;0;1;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m13_00
14000	5	base	240	266	26	0;0;0;0;0;208;32;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m14_00
15000	18	base	275	300	25	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;138;6	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m15_00
16000	10	base	189	212	23	0;0;0;0;0;0;0;2;0;0;185;2;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m16_00
18000	5	base	25	44	19	0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m18_00
19000		base	4	6	2	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m19_00
20000	1	dlc	163	174	11	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;151;0;1;1;0;0;0;0;6;0;4;0;0;0;0	m20_00
20010	14	dlc	71	84	13	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;1;0;0;0;2;5;1;53;7;1;0;1	m20_01
21000	8	dlc	106	115	9	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;2;102;0;1;1;0;0;0;0;0;0	m21_00
21010	10	dlc	146	157	11	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;4;0;0;0;0;131;11;0;0;0;0;0;0	m21_01
21020	8	dlc	24	25	1	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0	m21_02
22000	8	dlc	119	125	6	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;113;2;1;0;0;0;0;1;0;2	m22_00
25000	14	dlc	16	19	3	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0	m25_00
30000	1	base	19	22	3	0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_00
30010	1	base	28	30	2	0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_01
30020	0	base	17	22	5	17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_02
30030	5	base	21	26	5	0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_03
30040	0	base	10	14	4	10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_04
30050	5	base	41	44	3	0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_05
30060	5	base	24	31	7	0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_06
30070	8	base	31	37	6	0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_07
30080	7	base	43	45	2	0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_08
30090	8	base	26	30	4	0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_09
30100	8	base	32	35	3	0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_10
30110	0	base	19	21	2	19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_11
30120	7	base	27	29	2	0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_12
30130	8	base	33	35	2	0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_13
30140	6	base	32	34	2	0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_14
30150	6	base	14	16	2	0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_15
30160	14	base	29	31	2	0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_16
30170	11	base	16	19	3	0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;1;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_17
30180	11	base	58	67	9	0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_18
30190	15	base	17	21	4	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_19
30200	15	base	31	34	3	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m30_20
31000		base	7	13	6	0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m31_00
31010	1	base	9	11	2	0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m31_01
31020	1	base	26	28	2	5;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m31_02
31030	0	base	8	10	2	8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m31_03
31040	5	base	37	39	2	0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m31_04
31050	5	base	25	27	2	0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m31_05
31060	5	base	14	16	2	0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m31_06
31070	8	base	35	37	2	0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m31_07
31090	8	base	17	19	2	0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m31_09
31100	14	base	8	16	8	0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m31_10
31110	6	base	30	32	2	0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m31_11
31120	15	base	21	23	2	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m31_12
31150	0	base	20	23	3	20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m31_15
31170	0	base	30	32	2	30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m31_17
31180	7	base	14	16	2	0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m31_18
31190	7	base	13	18	5	0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m31_19
31200	6	base	14	24	10	0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m31_20
31210	6	base	54	56	2	0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m31_21
31220	11	base	25	31	6	0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m31_22
32000	1	base	24	26	2	0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m32_00
32010	0	base	18	20	2	18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m32_01
32020	5	base	33	35	2	0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m32_02
32040	7	base	18	20	2	0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m32_04
32050	7	base	30	32	2	0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m32_05
32070	6	base	26	29	3	1;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m32_07
32080	6	base	20	22	2	0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m32_08
32110	15	base	21	24	3	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m32_11
34100		base	6	44	38	6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m34_10
34110	9	base	57	62	5	0;0;0;0;0;1;0;0;0;56;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m34_11
34120	8	base	30	36	6	0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m34_12
34130		base	6	9	3	0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m34_13
34140	11	base	11	14	3	0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m34_14
34150		base	0	1	1	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m34_15
35000	12	base	189	204	15	0;0;0;0;0;0;0;0;0;1;0;0;188;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m35_00
39200	6	base	48	58	10	0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m39_20
40000	3	dlc	41	43	2	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0	m40_00
40010	6	dlc	37	43	6	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0	m40_01
40020	9	dlc	24	25	1	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0	m40_02
41000	0	dlc	52	54	2	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m41_00
41010	5	dlc	67	70	3	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0	m41_01
41020	6	dlc	57	60	3	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;56;0;1;0;0;0;0;0;0;0;0	m41_02
42000	3	dlc	14	15	1	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0	m42_00
42010	5	dlc	34	35	1	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0	m42_01
42020	5	dlc	26	27	1	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0	m42_02
42030	6	dlc	26	27	1	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0	m42_03
43000	5	dlc	31	33	2	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0	m43_00
43010	3	dlc	13	16	3	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;12;0;0;0;0;0;0;0;0;1;0;0;0;0	m43_01
45000		base	0	1	1	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m45_00
45010		base	0	1	1	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m45_01
45020		base	0	1	1	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m45_02
61000	0	base	160	379	219	156;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m60_42_36;m60_43_36;m60_43_37;m60_44_39;m60_45_37
61010	0	base	49	87	38	49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m60_41_38
61020	1	base	144	220	76	0;84;59;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m60_42_33;m60_43_31;m60_44_33
