# CHANNELS.tsv -- which TAG each published channel currently points at. Append-only.
#
# THE CHANNEL IS A POINTER, NOT A VERSION SUFFIX, and that is forced rather than chosen:
# Archipelago calls tuplize_version() on archipelago.json's world_version when it loads an apworld,
# and that raises on any prerelease form ('0.3.8-beta.1' -> ValueError). A suffix is a load-time
# crash, not a label. So every build keeps a strict X.Y.Z and a tag, and a channel names one.
#
# Promotion is a new ROW, never an edit: "when did stable last move, and to what" is a question
# somebody will ask after a bad release, and an overwritten cell cannot answer it.
#
# Measured cadence 2026-08-08 over 30 tags (v0.1 .. v0.3.7, 34 days): MEDIAN GAP 0.82 DAYS.
# Daily is not an aspiration here, it is what already happens -- which is why stable can be the
# newest tag rather than a slow-moving one, and why the skew this file exists to bound is ~1 day.
#
# channel  tag      promoted_on  note
# Website label: `beta -> main` is the Development channel. CI publishes that moving pointer as
# the GitHub prerelease tag `dev`; stable continues to name an immutable vX.Y.Z tag from this ledger.
stable	v0.3.7	2026-08-07	newest tag at the time this ledger was created
beta	main	2026-08-08	the open v0.3.8 window; keep_local, the sent-out count, the version stamp
stable	v0.3.8	2026-08-08	the pool-locality + wizard-channels window; the first promotion this ledger records
beta	main	2026-08-09	the open v0.3.10 window
stable	v0.3.9	2026-08-09	grace attunement, the Boss reward mechanism, the Shop umbrella, 29 named checks
stable	v0.3.10	2026-08-11	the region-locks-anywhere + dlc_only-Radahn window; owed at the v0.3.11 window opening on 2026-08-10 and paid a day late, in the sweep that found the note debt
beta	main	2026-08-11	the open v0.3.11 window; traps, spell auto-equip, the Cerulean fold, the finale on the scaling wire
beta	main	2026-08-12	the open v0.4.0 window; the minor bump for the useful/filler reclassification and rune_shop_pricing going OFF by default
stable	v0.4.0	2026-08-13	the first release announced in public. 🛑 THIS ROW WAS THE BLOCKER FOR deploy_wizard.sh --landing, which fetches from the STABLE tag: while stable pointed at v0.3.10 the landing page could not be deployed at all, because v0.3.10 has no wizard/landing.html. It also pays off a promotion owed since v0.3.11 -- stable sat on v0.3.10 through two tags while check_channels stayed green, because that gate verifies the pointer RESOLVES, not that it is current.
beta	main	2026-08-13	the open v0.4.1 window
stable	v0.4.1	2026-08-14	the SweepSlot / confine-surface window. Promoted the morning after the tag rather than at the next window-open, which is the first time this row has not been owed for a day or more -- it sat on v0.3.10 through two tags in August while check_channels stayed green, because that gate verifies the pointer RESOLVES, not that it is current. 🛑 deploy_wizard.sh --landing fetches from THIS row, so it now serves v0.4.1's wizard.
beta	main	2026-08-14	the open v0.4.2 window
beta	main	2026-08-15	the open v0.4.3 window
beta	main	2026-08-16	the open v0.4.4 window
stable	v0.4.3	2026-08-16	the hub-collapse + cross-game-locks window. Paid the morning after the tag, not at the next window-open. 🛑 stable had sat on v0.4.1 through TWO tags (v0.4.2, v0.4.3) while check_channels stayed green, because that gate verifies the pointer RESOLVES, not that it is current -- the same way it sat on v0.3.10 in August. deploy_wizard.sh --landing fetches from THIS row, so until now the public landing page was serving v0.4.1's wizard against a v0.4.3 build.
stable	v0.4.4	2026-08-16	the wizard-defaults + surface-lattice window. ⭐ PAID AT THE WINDOW OPEN, in the same commit -- the first time this row has not lagged its tag. It sat on v0.4.1 through TWO tags in this month alone and on v0.3.10 through two more in the last, every time with check_channels green, because that gate asks whether the pointer RESOLVES and never whether it is CURRENT. deploy_wizard.sh --landing fetches from THIS row, so the lag was the public landing page serving an older wizard against a newer build -- which is exactly the shape of the defect the wizard work in this window went and fixed elsewhere.
beta	main	2026-08-16	the open v0.4.5 window
stable	v0.4.5	2026-08-16	the goal-withholding + seven-Great-Runes window. ⭐ PAID AT THE WINDOW OPEN for the SECOND WINDOW RUNNING, in the same commit -- v0.4.4's row was the first time it had not lagged, and one occurrence is a fluke rather than a habit. Before that it sat on v0.4.1 through TWO tags in August and on v0.3.10 through two more in July, every time with check_channels green, because that gate asks whether the pointer RESOLVES and never whether it is CURRENT. deploy_wizard.sh --landing fetches from THIS row, so the public landing page now serves v0.4.5's wizard -- the one that emits every option rather than only the ones you changed (#732).
beta	main	2026-08-16	the open v0.4.6 window
stable	v0.4.6	2026-08-17	the any-four Great Rune goal, cross-game progression, ruled entrances, Metyr logic, missable-item protection, and matching client capital/rune/rescue fixes; promoted while opening v0.4.7 so the public stable wizard moves with the tag rather than after the next change
beta	main	2026-08-17	the open v0.4.7 window
stable	v0.4.6	2026-08-18	v0.4.7 was never tagged, so there is no newer immutable release to promote; v0.4.8 opens explicitly without pretending the accumulated main changes were already shipped
beta	main	2026-08-18	the open v0.4.8 window
stable	v0.4.8	2026-08-18	armor bundles, independent Great Rune/region goals, alternating flask upgrades, corrected filler quantities, TrapLink and Blackout, durable item/check delivery, Leyndell and capital fixes, and packaged AP Flower support; promoted while opening v0.4.9 so stable moves with the release
beta	main	2026-08-18	the open v0.4.9 window
stable	v0.4.9	2026-08-19	full-map data cleanup, safer start-item delivery, honest boss sweeps and tracker grouping, corrected merchant bells and capital entry, and stronger crash diagnostics; promoted while opening v0.4.10 so stable moves with the release
beta	main	2026-08-19	the open v0.4.10 window
stable	v0.4.10	2026-08-20	balanced cross-game progression and useful exports, a simpler live wizard, MajorBoss absorption, the Malenia goal, Snowfield and Sewer region corrections, Enia DLC filtering, and stronger delivery, Radahn, capital-warp, and grace-rescue handling; promoted while opening v0.4.11 so stable moves with the release
beta	main	2026-08-20	the open v0.4.11 window
stable	v0.4.11	2026-08-21	proper shop-shelf names (menu-scoped spare-row coloring + open-shelf repaint), eight orphan graces re-homed, the update banner + one-command updater, the matt's-rando installer, the quit-game crash fix, the Four Belfries key restored; promoted while opening v0.4.12 so stable moves with the release
beta	main	2026-08-21	the open v0.4.12 window
stable	v0.4.12	2026-08-22	the hold-cap hotfix: one purchase no longer padlocks every same-row shop slot (confirmed in-game by the reporter), plus the quit-game crash fix and the packaging/installer currency; promoted the same day as the tag, mid-window -- a hotfix promotion, not a window-open one, so the shipped updater and banner point players at the fix immediately
beta	main	2026-08-22	the open v0.4.13 window
stable	v0.4.13	2026-08-22	the corpse-award retroactive sweep (179 death-award checks pay on any old seed) plus the shop-repaint fast-reopen fix, the F6 tracker horizontal-resize fix, and the pickup cue defaulting off; promoted at its tag as the window opened
beta	main	2026-08-22	the open v0.4.14 window
stable	v0.5.0	2026-08-24	ability lock: name any of jump / crouch / roll / r1 / r2 / l1 / l2 / heal in locked_abilities and the game will not do it, or set ability_lock_mode: progressive and find them back as multiworld items (roll forced early); plus co-op difficulty, shop_checks and armor_bundles as YAML options, the Leyndell capital-gate and as-sent Great Rune fixes, 129 more retroactive corpse-award checks, and the !check rescue command; promoted at its tag as the v0.5.1 window opened -- the promotion v0.5.0 deferred while it was an integration branch
beta	main	2026-08-24	the open v0.5.1 window
stable	v0.5.1	2026-08-27	region_sync for seamless co-op (one player opens a region, every opted-in ER slot's door opens with it), full_area_sweeps (a boss hands you the whole area), spawn_traps by enemy NAME, and the progressive ability-lock early-attack fix; also carries the unverified 2.7.0.0 Tarnished candidate offsets ahead of the game update; promoted at its tag as the v0.5.2 window opened
beta	main	2026-08-27	the open v0.5.2 window
stable	v0.5.2	2026-08-28	the Tarnished Edition compatibility release: Elden Ring 2.7.0.0 and 2.7.0.1 client support, honest sweep-eligibility wording, corrected Yura and Leyndell Golden Seed labels, and the bounded Tarnished check retry; promoted at its tag as the v0.5.3 window opened
beta	main	2026-08-28	the open v0.5.3 window
stable	v0.5.3	2026-08-29	Tarnished Pack gear, merchants, and field pickups; Torrent repair for Matt's randomizer; the audited v0.4.13 compatibility bridge; clearer Leyndell and finale-lock tracking; Sellia progression logic and corpus corrections; promoted while opening v0.5.4 so the updater and public wizard move with the tagged release
beta	main	2026-08-29	the open v0.5.4 window
stable	v0.5.5	2026-08-31	mine-material rerolls, sphere-scaled rune rewards, progression-surface flask upgrades, quest and region corrections, and the matching delivery/diagnostic client fixes; promoted while opening v0.5.6 so the updater and public wizard follow the tagged release
beta	main	2026-08-31	the open v0.5.6 window
stable	v0.5.7	2026-09-02	audited progression hosts, restored evidence-backed surface checks, foreign-world Lock hints, stronger delivery recovery, and expanded external evidence coverage; promoted immediately after tagging so the updater and public wizard follow the release
beta	main	2026-09-02	the open v0.5.8 window
beta	v0.6	2026-09-03	the long-running v0.6 check-audit and logic-development channel; v0.5.x fixes remain on main
stable	v0.6.0	2026-09-06	bundled MapForGoblins with automatic check sharing and colors; Flower atlas override and standalone Torrent repair omitted; release assets verified published
beta	main	2026-09-06	v0.6 merged into main; development follows main after the stable v0.6.0 release
stable	v0.6.0.1	2026-09-07	first fixpack on the 0.6.0 line: auto enemy cap holds base-game regions at Haligtree unless the blessing is everywhere, wizard previews the cap, early stone guarantee survives pre-fill, recovered M4G checks, progression rings off by default, Great Rune re-grant fix; V.R.M.F adopted. Promoted in the window-open commit so latest.json and the wizard's stable channel move with the tag rather than on a later morning.
beta	main	2026-09-07	the open v0.6.0.2 window
stable	v0.6.0.2	2026-09-07	second fixpack on the 0.6.0 line, two multiworld fixes: a partner's declared early items are left to AP's early pass instead of being reserved deep on our checks, and a partner still holding its own pre-fill items (Oracle of Seasons dungeon keys) keeps all its locations, so mixed tables generate again; plus the tag-rebuild tolerance for a moved MapForGoblins fork. Promoted in the window-open commit so latest.json and the stable wizard move with the tag.
beta	main	2026-09-07	the open v0.6.0.3 window
stable	v0.6.0.3	2026-09-07	third fixpack on the 0.6.0 line: cross-world placement (progression surface, incoming reservation, useful export) moved into AP's stage_fill_hook so it runs after every partner's pre-fill and the early-items pass, retiring the two v0.6.0.2 workarounds; the world declares its contract profile (hash moved to 613fb438, bridged by the client); generated tables behind a loader; single-source game name; the paired client stops over-scaling nameless arena bodies of named NPCs (Fia's Champions). Promoted in the window-open commit so latest.json and the stable wizard move with the tag.
beta	main	2026-09-07	the open v0.6.0.4 window
stable	v0.6.0.4	2026-09-07	fourth fixpack on the 0.6.0 line, a docs-and-tooling window that moved no contract, no seed and no client behaviour: a generated `!give` item ID reference (release/ITEM-IDS.md, 2363 vanilla items rendered from the world's own catalog by tools/gen_item_ids_doc.py with a --check gate so it cannot drift), and tools/matt_oracle.py, a read-only weekly cross-check of our check tables against thefifthmatt/SoulsRandomizers' independently curated slot table joined on the event flag (3977/4084 comparable rows agree; the rest triaged and allowlisted by cause, nothing vendored). CONTRACT_HASH unmoved at 613fb438. Promoted in the window-open commit so latest.json and the stable wizard move with the tag.
beta	main	2026-09-07	the open v0.6.0.5 window
