# AUTO-GENERATED by tools/build_questline_dag.py -- DO NOT EDIT, re-emit.
# TIER 1 of docs/specs/SPEC-questline-dag-20260728.md: EMIT THE GRAPH, ASSERT NOTHING.
# Directed edges over EVENT FLAGS. target_flag is always a live AP check.
#   sense=set     the source must be SET   -> a PREREQUISITE. A CANDIDATE access rule, not one yet.
#   sense=clear   the source must be CLEAR -> an EXCLUSION. Never an access rule; this is the
#                 argument FOR the missable tag.
#   sense=unknown the corpus does not encode the polarity. UNUSABLE. Tallied, never guessed.
# 🛑 NOTHING IN THE WORLD READS THIS FILE. Every check named here keeps its missable tag.
# 🛑 An edge is CO-OCCURRENCE + a polarity rule, not proof: datamine_lot_gates pairs every flag test
#   in an event with every award in it, so a test on a branch that never reaches the award is here.
# 🛑 ABSENCE IS NOT SAFETY. Every corpus below reads an AWARD SITE. A questline that gates whether a
#   FIGHT EXISTS leaves no award-site trace -- f510110 (Fortissax), the case this spec was written
#   from, is absent BY CONSTRUCTION and the tool asserts that absence out loud.
# alt_group groups edges READ AT ONE SITE; `group_semantics` says what that grouping MEANS, and it
#   is `unknown` unless the data proves otherwise -- `any` only for separate call sites of one
#   common event (f400191's three triggers), `all` only for the `&&` conjuncts of one enabler
#   condition (f1039537050's three). 🛑 An earlier version called EVERY group "alternatives"; that
#   was OUR claim wearing the game's clothes, and an OR read of a conjunction is an
#   UNDER-constrained rule. A consumer may act on `any` / `all` only.
# source_locator: how the source's region was placed -- flag_decode > setter_map > common_map >
#   test_map (WEAKEST: where the flag MATTERS, not where it lives -- good enough for a missable tag,
#   never for an access rule). Empty = unplaced.
# MEASURED THIS RUN (recomputed on every emit; the tool hard-fails on a degenerate parse):
#   edges 300 over 164 target check(s) | sense: set 153, clear 22, unknown 125
#   by tool: esd_gifts 112, lot_gates 176, treasure_enablers 12
#   source kind: check 5, npc_state 106, world 189
#   targets: 116 with a PREREQUISITE (sense=set), 16 with an EXCLUSION (sense=clear)
#   CORROBORATION: 88 of 164 target check(s) are ALREADY missable-tagged (54%); the tag set holds 289 checks in total
#   cross-region edges: 59 (10 whose target is NOT missable-tagged)
#   alt_group semantics: all 2, any 11, single 164, unknown 39 (a group claims OR/AND only where the DATA proves it)
#   edges DEGRADED to unusable by a guard (each is a refusal, not a loss): context-branch-unresolved 7, enabler-not-an-eventflag-test-above-the-enable 2, esd-paths-disagree 3, esd-received-memo 83, lot_gates-senses-disagree 2, treasure-verb-crossproduct 28
#   source flags LABELLED from FromSoft's own event names: 201 of 300 edge(s) (67%); by emevd_batch 1, emevd_event 95, esd_talk 105
#   source region located by: none 120, esd_talk_map 40, flag_decode 83, setter_map 42, test_map 15
#   dropped rows (a filter with no tally is a lie): esd_gifts:duplicate-row 3, esd_gifts:lot-has-no-flag 51, esd_gifts:self-loop 1, esd_gifts:sentinel-source 2, esd_gifts:target-not-a-live-check 129, lot_gates:duplicate-row 51, treasure_enablers:duplicate-row 3, treasure_enablers:no-entity-handle 66
#   contexts with NO polarity rule (-> unknown, never guessed): !EventFlag 1, ? 6, EventFlag 1, GotoIf 2, if 1
# ACCEPTANCE (SPEC §7, asserted on the finished pipeline by name):
#   [ok] f400191 Golden Seed / Stormhill Shack -- 3 triggers in ONE alt_group with semantics=any (separate call sites of one common event); found gates [3708, 3709, 1041389414] in 1 group(s), semantics ['any']
#   [ok] f400191 polarity -- every trigger is a POSITIVE prerequisite (commonarg/WaitFor); senses ['set']
#   [ok] f1039537050 Gelmir enabler -- a CONJUNCTION, not alternatives -- three `&&` conjuncts of one WaitFor must read semantics=all; got ['all']
#   [ok] f400001 Rold Medallion (Melina handover) -- the easy end of the graph: 1 ESD-gift edge(s)
#   [ok] f65660 <- 11007992 -- the EndIf INVERSION -- `EndIf(EventFlag(X))` ends the event when X is SET, so the award below needs X CLEAR; reading it the naive way mints a false prerequisite. senses ['clear']
#   [ok] f400470 <- 1047419201 -- the ESD gate_sense=1 mapping -- Great-Jar's Arsenal is handed over behind a SET flag; if the 1/0 mapping inverts, this is the fixture that says so. senses ['set']
#   [ok] f580600 <- 9146 (treasure enabler) -- the one known real cross-region prerequisite; senses ['set']
#   [ok] f510110 Fortissax -- ABSENT BY CONSTRUCTION -- no award-site corpus can see an arena-existence gate; absence here is the BLIND SPOT, never evidence of safety (SPEC §5)
source_flag	target_flag	sense	evidence	tool	source_label	source_label_ja	label_source	label_setters	basis	alt_group	group_semantics	source_kind	source_region	source_locator	target_region	cross_region	target_ap_id	target_name
11059206	9500	set	$InitializeCommonEvent(90005750) arg5	lot_gates	NPC112 Gold Masked Seeker_NPC initialization event	NPC112金仮面の探究者_NPC初期化イベント	emevd_event	1	commonarg-positive-by-construction	lot_gates:9500:90005750	single	world	Leyndell	setter_map	Ashen Capital	yes	7770008	Ashen Capital :: Mending Rune of Perfect Order - around Elden Throne, may be sweep-granted by Godfrey, First Elden Lord (m11_05) [f9500]
4131	9502	set	$InitializeCommonEvent(90005750) arg5	lot_gates	NPC322 Yuria_Character state transition	NPC322ユリア_キャラ状態遷移	emevd_event	4	commonarg-positive-by-construction	lot_gates:9502:90005750	single	world			Deeproot Depths	unknown	7770009	Deeproot Depths :: Mending Rune of the Death-Prince - near Prince of Death's Throne, may be sweep-granted by Crucible Knight Siluria (m12_03) [f9502]
1042369408	60110	unknown	talk 106006000 gate_sense=0 lot 103900	esd_gifts	set by NPC talk 106006000 on m60_00_00_00		esd_talk	1	esd-paths-disagree	esd_gifts:60110:106006000	unknown	npc_state	Limgrave	flag_decode	Limgrave	no	7770012	Limgrave :: Spirit Calling Bell - from Twin Maiden Husks [f60110]
1042369413	60110	set	$InitializeCommonEvent(90005750) arg5	lot_gates	NPC106_Rani_Disappears from the church	NPC106_ラニ_教会から消える	emevd_event	2	commonarg-positive-by-construction	lot_gates:60110:90005750	single	world	Limgrave	flag_decode	Limgrave	no	7770012	Limgrave :: Spirit Calling Bell - from Twin Maiden Husks [f60110]
11102180	60300	set	$InitializeCommonEvent(90005792) arg1	lot_gates					commonarg-positive-by-construction	lot_gates:60300:90005792	single	world			Roundtable Hold	unknown	7770017	Roundtable Hold :: Taunter's Tongue - around Table of Lost Grace [f60300]
11109370	60500	unknown	talk 102001110 gate_sense=0 lot 101100	esd_gifts	set by NPC talk 102001110 on m11_10_00_00		esd_talk	1	esd-received-memo	esd_gifts:60500:102001110	single	npc_state	Roundtable Hold	esd_talk_map	Roundtable Hold	no	7770025	Roundtable Hold :: Talisman Pouch - from Twin Maiden Husks [f60500]
1039522181	65270	set	$InitializeCommonEvent(90005792) arg1	lot_gates					commonarg-positive-by-construction	lot_gates:65270:90005792	single	world			Altus	unknown	7770039	Altus :: Purifying Crystal Tear - m60_39_52 (region unconfirmed), may be sweep-granted by Sanguine Noble (m60_40_53) [f65270]
11007992	65660	clear	002696, Restart, function() { EndIf(EventFlag(11007992)); Wai	lot_gates					endif-bailout-inverts	lot_gates:65660:11002696	single	check	Leyndell	flag_decode	Leyndell	no	7770043	Leyndell :: Sanctified Whetblade - near Fortified Manor, First Floor, may be sweep-granted by Morgott, the Omen King (m11_00) [f65660]
110	68210	clear	talk 324001110 gate_sense=0 lot 102840	esd_gifts	Natural disaster_Melina goes up in flames	天変地異_メリナ炎上	emevd_event	1	esd-walk-gate-sense	esd_gifts:68210:324001110	unknown	world			Roundtable Hold	unknown	7770135	Roundtable Hold :: Fevor's Cookbook [3] - from Twin Maiden Husks [f68210]
11109662	68210	unknown	talk 324001110 gate_sense=1 lot 102840	esd_gifts	set by NPC talk 324001110 on m11_10_00_00		esd_talk	1	esd-received-memo	esd_gifts:68210:324001110	unknown	npc_state	Roundtable Hold	esd_talk_map	Roundtable Hold	no	7770135	Roundtable Hold :: Fevor's Cookbook [3] - from Twin Maiden Husks [f68210]
108	400001	clear	talk 3000 gate_sense=0 lot 100010	esd_gifts	Receiving crazy fire	狂い火の受領	emevd_event	1	esd-walk-gate-sense	esd_gifts:400001:3000	single	world			Leyndell	unknown	7770556	Leyndell :: Rold Medallion - talk to Melina after killing Morgott [f400001]
10009305	400020	unknown	talk 304001000 gate_sense=1 lot 100200	esd_gifts	set by NPC talk 304001000 on m10_00_00_00		esd_talk	1	esd-received-memo	esd_gifts:400020:304001000	single	npc_state			Stormveil	unknown	7773703	Stormveil :: Neutralizing Boluses - around Castleward Tunnel [f400020]
1035449216	400031	unknown	talk 301006000 gate_sense=0 lot 100310	esd_gifts	set by NPC talk 301006000 on m60_00_00_00		esd_talk	1	esd-received-memo	esd_gifts:400031:301006000	single	npc_state			Liurnia	unknown	7770557	Liurnia :: Lord of Blood's Favor - m10_01 (1) [f400031]
1035449226	400032	unknown	talk 301006000 gate_sense=0 lot 100320	esd_gifts	set by NPC talk 301006000 on m60_00_00_00		esd_talk	1	esd-received-memo	esd_gifts:400032:301006000	single	npc_state			Liurnia	unknown	7773704	Liurnia :: Pureblood Knight's Medal [f400032]
