flag,location_name,note
177,FA/TFB: Golden Rune [12] - to SW up right stairs outside,client sets on pickup/purchase (flagless in game data)
110060,"MH/HC: Smithing Stone [8] - from main branch, go S take right fork then SE",client sets on pickup/purchase (flagless in game data)
130310,MA/(LER): Ghost Glovewort [2] - enemy drop middle of ruins,client sets on pickup/purchase (flagless in game data)
130320,MA/(LER): Ghost Glovewort [2] - enemy drop E ruins,client sets on pickup/purchase (flagless in game data)
130790,MA/(LER): Smithing Stone [8] x3 - in chest under illusory floor E ruins,client sets on pickup/purchase (flagless in game data)
150060,LG/SR: Lump of Flesh x3 - lower beach to W,client sets on pickup/purchase (flagless in game data)
150080,LG/(CE): Furlcalling Finger Remedy x5 - Kalé Shop,client sets on pickup/purchase (flagless in game data)
150090,LG/(CE): Note: Flask of Wondrous Physick - Kalé Shop,client sets on pickup/purchase (flagless in game data)
150120,LG/(CE): Note: Waypoint Ruins - Kalé Shop,client sets on pickup/purchase (flagless in game data)
150140,LG/(CE): Nomadic Warrior's Cookbook [1] - Kalé Shop,client sets on pickup/purchase (flagless in game data)
150210,LG/(CE): Telescope - Kalé Shop,client sets on pickup/purchase (flagless in game data)
150220,LG/(CE): Nomadic Warrior's Cookbook [2] - Kalé Shop,client sets on pickup/purchase (flagless in game data)
150480,LG/SB: Bandit Mask - Nomadic Merchant to E,client sets on pickup/purchase (flagless in game data)
150490,LG/SB: Pickled Turtle Neck x3 - Nomadic Merchant to E,client sets on pickup/purchase (flagless in game data)
150500,LG/SB: Note: Flame Chariots - Nomadic Merchant to E,client sets on pickup/purchase (flagless in game data)
150550,LG/ME: St. Trina's Arrow x10 - Nomadic Merchant S of ME,client sets on pickup/purchase (flagless in game data)
150960,LG/CC: Stanching Boluses x3 - Nomadic Merchant SE of CC,client sets on pickup/purchase (flagless in game data)
150970,LG/CC: Stimulating Boluses x2 - Nomadic Merchant SE of CC,client sets on pickup/purchase (flagless in game data)
150980,LG/CC: Note: Stonedigger Trolls - Nomadic Merchant SE of CC,client sets on pickup/purchase (flagless in game data)
160250,WP/WR: Golden Rune [5] - W of WR on beach,client sets on pickup/purchase (flagless in game data)
160260,WP/(WR): Great Dragonfly Head - within ruins,client sets on pickup/purchase (flagless in game data)
160350,LL/RVV: Ash of War: Barbaric Roar - scarab to N,client sets on pickup/purchase (flagless in game data)
160530,"SSG/UR: Fire Grease x5 - to left down ladder, to right up pipe on big platform",client sets on pickup/purchase (flagless in game data)
