# AUTO-GENERATED by tools/sweep_unnamed_items.py -- DO NOT EDIT, re-emit.
# One row per UNNAMED item-lot row, recording every corpus that was searched
# for it. A '-' means SEARCHED AND ABSENT, not 'not looked at'.
# 🛑 msb_searched is NO for every row: the witchy'd MSBs stay on the Windows
#    box. That half is a NAMED GAP, not a silence.
# data.py inputs_hash at sweep time: sha256:ab0b6587d981c12135e947368e0ac6e9eb9828dc3c2f5fbbd2ca4a3831d03cae
# Re-run: python tools/gen_inputs.py --extract && python tools/sweep_unnamed_items.py
flag	region	lot	category	item_id	expected_fmg_family	verdict	fmg_hit	fmg_hit_base_id	name_if_found	param_row_exists	emevd_files	lot_in_emevd	talk_files	corpora_searched	msb_searched
400281	Leyndell	102810	1	8178	Goods	WRONG FAMILY: id resolves only in Accessory -- the category 1 -> family map is the open question	-	Accessory	Dried Bouquet	-	-	-	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
400712	Jagged Peak	107110	6	4548045	Goods	ABSENT from every param and FMG here -- MSBs are the only stone left	-	-	-	-	-	m61_52_40_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
400712	Jagged Peak	107111	3	5100000	Weapon	WRONG FAMILY: id resolves only in Protector -- the category 3 -> family map is the open question	Protector	-	Igon's Helm	EquipParamProtector	-	-	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
400712	Jagged Peak	107112	3	5100100	Weapon	WRONG FAMILY: id resolves only in Protector -- the category 3 -> family map is the open question	Protector	-	Igon's Armor	EquipParamProtector	-	-	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
400712	Jagged Peak	107113	3	5100200	Weapon	WRONG FAMILY: id resolves only in Protector -- the category 3 -> family map is the open question	Protector	-	Igon's Gauntlets	EquipParamProtector	-	-	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
400712	Jagged Peak	107114	3	5100300	Weapon	WRONG FAMILY: id resolves only in Protector -- the category 3 -> family map is the open question	Protector	-	Igon's Loincloth	EquipParamProtector	-	-	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
400712	Jagged Peak	107115	1	2008907	Goods	NAMABLE: own-category FMG	Goods	Goods	Igon's Bell Bearing	EquipParamGoods	-	-	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
400730	Scadu Altus	107300	6	4401055	Goods	ABSENT from every param and FMG here -- MSBs are the only stone left	-	-	-	-	-	m61_49_44_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
21017150	Shadow Keep	21010150	6	4800057	Goods	ABSENT from every param and FMG here -- MSBs are the only stone left	-	-	-	-	-	-	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
1048387010	Caelid	948380010	1	401	Goods	NAMABLE: own-category FMG after stripping reinforcement (base 400)	-	Goods	Roped Fire Pot	-	-	-	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
