lead_id	subject_kind	subject_id	claim_kind	normalized_value	source_ids	independence_families	disposition	game_version	exact_citations	summary	limitations
game8-528599-check-7770677	check	7770677	identity_region	{"item_name":"Heart of Bayle","region":"Jagged Peak"}	wiki:game8:heart-of-bayle:20260902	gameplay-guide:game8	lead_only	unknown	game8:528599:#how-to-get-heart-of-bayle	Game8 states that the Heart of Bayle drops from defeating Bayle the Dread at Jagged Peak; the exact unique item name identifies AP check 7770677 in Jagged Peak.	One commercial-guide family and a live retrieval pinned by response-body hash. This supports identity and coarse region only; it does not prove v1.17 access logic, event predicates, route order, or alternate-acquisition absence.
game8-358873-check-7770340	check	7770340	identity_region	{"item_name":"Torch","region":"Limgrave"}	wiki:game8:merchant-kale:20260902	gameplay-guide:game8	lead_only	unknown	game8:358873:#merchant-kale-shop	Game8 places Merchant Kale at the Church of Elleh in Limgrave and lists Torch in his stock; the exact item name identifies AP check 7770340 in Limgrave.	One commercial-guide family and a live retrieval pinned by response-body hash. This supports identity and coarse region only; it does not prove v1.17 access logic, shop-state predicates, route order, or alternate-acquisition absence.
game8-371783-check-7771624	check	7771624	identity_region	{"item_name":"Cleanrot Knight Finlay","region":"Haligtree"}	wiki:game8:cleanrot-knight-finlay:20260902	gameplay-guide:game8	lead_only	unknown	game8:371783:#how-to-get-cleanrot-knight-finlay	Game8 places Cleanrot Knight Finlay in a chest in Elphael, Brace of the Haligtree; the exact unique item name identifies AP check 7771624 in Haligtree.	One commercial-guide family and a live retrieval pinned by response-body hash. This supports identity and coarse region only; it does not prove v1.17 access logic, event predicates, route order, or alternate-acquisition absence.
game8-459445-check-7770675	check	7770675	identity_region	{"boss":"Romina, Saint of the Bud","item_name":"Remembrance of the Saint of the Bud","region":"Ancient Ruins"}	wiki:game8:saint-of-the-bud-remembrance:20260902	gameplay-guide:game8	lead_only	unknown	game8:459445:#remembrance-of-the-saint-of-the-bud-location	Game8 states that defeating Romina at the Church of the Bud on the west side of the Ancient Ruins of Rauh awards Remembrance of the Saint of the Bud; the exact boss reward identifies AP check 7770675 in Ancient Ruins.	One commercial-guide family and a live retrieval pinned by response-body hash. This supports identity and coarse region only; it does not prove v1.17 access logic, event predicates, route order, or alternate-acquisition absence.
game8-458536-check-7770648	check	7770648	identity_region	{"item_name":"Watchful Spirit","region":"Belurat"}	wiki:game8:belurat-walkthrough:20260902	gameplay-guide:game8	lead_only	unknown	game8:458536:#obtainable-rewards	Game8 lists Watchful Spirit among Belurat Tower Settlement's obtainable rewards; the exact unique item identifies AP check 7770648 in Belurat.	One commercial-guide family; supports identity and coarse region only, not access logic or event predicates.
game8-458536-check-7771770	check	7771770	identity_region	{"item_name":"Shriek of Sorrow","region":"Belurat"}	wiki:game8:belurat-walkthrough:20260902	gameplay-guide:game8	lead_only	unknown	game8:458536:#obtainable-rewards	Game8 lists Shriek of Sorrow among Belurat Tower Settlement's obtainable rewards; the exact unique item identifies AP check 7771770 in Belurat.	One commercial-guide family; supports identity and coarse region only, not access logic or event predicates.
game8-459389-check-7771759	check	7771759	identity_region	{"item_name":"Poisoned Hand","region":"Belurat"}	wiki:game8:poisoned-hand:20260902	gameplay-guide:game8	lead_only	unknown	game8:459389:#poisoned-hand-location	Game8 places Poisoned Hand on a corpse in the poison swamp in Belurat Tower Settlement; the exact unique item identifies AP check 7771759 in Belurat.	One commercial-guide family; supports identity and coarse region only, not access logic or event predicates.
game8-459778-check-7773411	check	7773411	identity_region	{"item_name":"Glintblade Trio","region":"Ensis"}	wiki:game8:castle-ensis-walkthrough:20260902	gameplay-guide:game8	lead_only	unknown	game8:459778:#obtainable-rewards	Game8 lists Glintblade Trio among Castle Ensis's obtainable rewards; the exact spell identifies AP check 7773411 in Ensis.	One commercial-guide family; supports identity and coarse region only, not access logic or event predicates.
game8-458590-check-7773427	check	7773427	identity_region	{"item_name":"Castle Cross Message","region":"Ensis"}	wiki:game8:leda-quest:20260902	gameplay-guide:game8	lead_only	unknown	game8:458590:#obtain-ledas-message-at-castle-ensis	Game8 places the Castle Cross Message beside the Castle Ensis Checkpoint grace; the exact unique message identifies AP check 7773427 in Ensis.	One commercial-guide family; supports identity and coarse region only, not access logic or event predicates.
pushsquare-castle-ensis-check-7773423	check	7773423	identity_region	{"item_name":"Shadow Realm Rune [4]","region":"Ensis"}	wiki:pushsquare:castle-ensis:20260902	gameplay-guide:pushsquare	lead_only	unknown	pushsquare:castle-ensis:#walkthrough	Push Square places Shadow Realm Rune [4] in the first room of its Castle Ensis walkthrough; the exact item and dungeon identify AP check 7773423 in Ensis.	One commercial-guide family; supports identity and coarse region only, not exact flag, access logic, or event predicates.
game8-371570-check-7771619	check	7771619	identity_region	{"item_name":"Miquellan Knight's Sword","region":"Haligtree"}	wiki:game8:miquellan-knight-sword:20260902	gameplay-guide:game8	lead_only	unknown	game8:371570:#miquellan-knights-sword-location	Game8 places Miquellan Knight's Sword atop a bell tower in Miquella's Haligtree; the exact unique item identifies AP check 7771619 in Haligtree.	One commercial-guide family; supports identity and coarse region only, not access logic or event predicates.
game8-371610-check-7771598	check	7771598	identity_region	{"item_name":"Somber Smithing Stone [9]","region":"Haligtree"}	wiki:game8:somber-stone-9:20260902	gameplay-guide:game8	lead_only	unknown	game8:371610:#in-a-room-in-haligtree-town-plaza	Game8 places a Somber Smithing Stone 9 in a room below Haligtree Town Plaza; that exact anchor identifies AP check 7771598 in Haligtree.	One commercial-guide family; supports identity and coarse region only, not access logic or event predicates.
game8-368917-check-7771555	check	7771555	identity_region	{"item_name":"Golden Seed","region":"Haligtree"}	wiki:game8:golden-seeds:20260902	gameplay-guide:game8	lead_only	unknown	game8:368917:#miquellas-haligtree	Game8 places a Golden Seed on the Ulcerated Tree Spirit west of Drainage Channel in Miquella's Haligtree; the exact acquisition anchor identifies AP check 7771555 in Haligtree.	One commercial-guide family; supports identity and coarse region only, not access logic or event predicates.
game8-358866-check-7770560	check	7770560	identity_region	{"item_name":"Varre's Bouquet","region":"Mohgwyn"}	wiki:game8:varre-quest:20260902	gameplay-guide:game8	lead_only	unknown	game8:358866:#invade-white-mask-varre-in-mohgwyn-palace	Game8 states that defeating Varre by the Dynasty Mausoleum Midpoint in Mohgwyn Palace awards Varre's Bouquet; the exact unique reward identifies AP check 7770560 in Mohgwyn.	One commercial-guide family; supports identity and coarse region only, not access logic or event predicates.
game8-358866-check-7771358	check	7771358	identity_region	{"item_name":"White Mask","region":"Mohgwyn"}	wiki:game8:varre-quest:20260902	gameplay-guide:game8	lead_only	unknown	game8:358866:#defeat-the-nameless-white-mask	Game8 states that the Nameless White Mask invasion in Mohgwyn Palace awards the White Mask armor set; the exact item identifies AP check 7771358 in Mohgwyn.	One commercial-guide family; supports identity and coarse region only, not access logic or event predicates.
game8-460470-check-7773210	check	7773210	identity_region	{"item_name":"Talisman of All Crucibles","region":"Ancient Ruins"}	wiki:game8:ancient-rauh:20260902	gameplay-guide:game8	lead_only	unknown	game8:460470:#ancient-ruins-of-rauh-items	Game8 lists Talisman of All Crucibles among the Ancient Ruins of Rauh rewards; the exact unique item identifies AP check 7773210 in Ancient Ruins.	One commercial-guide family; supports identity and coarse region only, not access logic or event predicates.
eip-ancient-rauh-check-7773210	check	7773210	identity_region	{"item_name":"Talisman of All Crucibles","region":"Ancient Ruins"}	wiki:eip:ancient-rauh:20260902	gameplay-guide:eip	lead_only	unknown	eip:ancient-ruins-of-rauh:#rauh-ancient-ruins-west	EIP places the Talisman of All Crucibles in its Rauh Ancient Ruins West route; the exact unique item identifies AP check 7773210 in Ancient Ruins.	One commercial-guide family; supports identity and coarse region only, not access logic or event predicates.
game8-460470-check-7773352	check	7773352	identity_region	{"item_name":"Dryleaf Whirlwind","region":"Ancient Ruins"}	wiki:game8:ancient-rauh:20260902	gameplay-guide:game8	lead_only	unknown	game8:460470:#ancient-ruins-of-rauh-items	Game8 lists Dryleaf Whirlwind among the Ancient Ruins of Rauh rewards; the exact unique ash identifies AP check 7773352 in Ancient Ruins.	One commercial-guide family; supports identity and coarse region only, not access logic or event predicates.
eip-ancient-rauh-check-7773352	check	7773352	identity_region	{"item_name":"Dryleaf Whirlwind","region":"Ancient Ruins"}	wiki:eip:ancient-rauh:20260902	gameplay-guide:eip	lead_only	unknown	eip:ancient-ruins-of-rauh:#rauh-ancient-ruins-east	EIP places Dryleaf Whirlwind beside a pillar northeast of the Rauh Ancient Ruins East grace; the exact unique ash identifies AP check 7773352 in Ancient Ruins.	One commercial-guide family; supports identity and coarse region only, not access logic or event predicates.
eip-ancient-rauh-check-7773447	check	7773447	identity_region	{"item_name":"Ancient Ruins Cross Message","region":"Ancient Ruins"}	wiki:eip:ancient-rauh:20260902	gameplay-guide:eip	lead_only	unknown	eip:ancient-ruins-of-rauh:#rauh-ancient-ruins-east	EIP places the Ancient Ruins Cross Message at the Cross of Miquella beside Rauh Ancient Ruins East; the exact unique message identifies AP check 7773447 in Ancient Ruins.	One commercial-guide family; supports identity and coarse region only, not access logic or event predicates.
game8-368945-check-7770009	check	7770009	identity_region	{"item_name":"Mending Rune of the Death-Prince","region":"Deeproot Depths"}	wiki:game8:fia-quest:20260902	gameplay-guide:game8	lead_only	unknown	game8:368945:#obtain-the-mending-rune-of-the-death-prince	Game8 states that the Mending Rune is looted from Fia after Fortissax in Deeproot Depths; the exact unique item identifies AP check 7770009 there.	One commercial-guide family; supports identity and coarse region only, not access logic or event predicates.
game8-458536-check-7770645	check	7770645	identity_region	{"item_name":"Crusade Insignia","region":"Belurat"}	wiki:game8:belurat-walkthrough:20260902	gameplay-guide:game8	lead_only	unknown	game8:458536:#belurat-step-by-step-guide:Fire-Knight-Queelign	Game8's Belurat walkthrough states that Fire Knight Queelign invades there and drops Crusade Insignia; the unique item name identifies AP check 7770645 in Belurat.	One commercial-guide family and a live retrieval pinned by response-body hash. This supports identity and coarse region only; it does not prove access logic, event predicates, route order, or alternate-acquisition absence.
game8-458536-check-7771746	check	7771746	identity_region	{"item_name":"Revered Spirit Ash","region":"Belurat"}	wiki:game8:belurat-walkthrough:20260902	gameplay-guide:game8	lead_only	unknown	game8:458536:#all-4-belurat-revered-spirit-ash-locations:entrance-statue	Game8 places a Revered Spirit Ash on the entrance statue in Belurat; that specific landmark identifies AP check 7771746.	The repeated item name is disambiguated by the entrance-statue landmark matching the AP description. This supports identity and coarse region only; it does not prove access logic, route order, or completeness.
